,'File' Attachments,Edition,Issue,Date,Newspaper,Notes,Place Published,Location,Record Number,Reference Type,Reporter,Short Title,Title,Year,Reference Type,Archive
193,"internal-pdf://2886756948/The Jackson herald, April 13, 1905.pdf",,,13-Apr-05,The Jackson herald,,N/A,"Jackson, Missouri",6292, Newspaper Article,,Ladies’ Aid society of the Oak Ridge Baptist church,Ladies’ Aid society of the Oak Ridge Baptist church,22-Apr-05,,LOC Conundrum Supper
194,"internal-pdf://2711809225/The Jersey City news, January 15, 1903.pdf",,,15-Jan-03,The Jersey City,,N/A,"Jersey City, New Jersey",6318, Newspaper Article,,Epworth league of St. Paul’s M.E. church,Epworth league of St. Paul’s M.E. church,16-Jan-03,,LOC Conundrum Supper
195,"internal-pdf://3427794779/The Jersey City news, April 05, 1893.pdf",,,"April 05, 1893",The Jersey City news,Contains eBOF; same event is referenced in the issue from April 1,Church basement,"Jersey City, New Jersey",6398, Newspaper Article,,Congregation of the Park Reformed Church,Congregation of the Park Reformed Church,"April 04, 1893",,LOC Conundrum Supper
196,"internal-pdf://1061730688/The Jersey City news, April 29, 1892.pdf",,,"April 29, 1892",The Jersey City news,,Lecture room of the First Reformed Church,"Jersey City, New Jersey",6314, Newspaper Article,,Ladies’ Aid society,Ladies’ Aid society,"April 28, 1892",,LOC Conundrum Supper
197,"internal-pdf://4009775770/The Jersey City news, December 12, 1895.pdf",,,"December 12, 1895",The Jersey City news,Contains eBOF; Has a lot of information about the dinner,Lecture room of the Tabernacle,"Jersey City, New Jersey",6396, Newspaper Article,,Ladies’ Aid society of the Tabernacle,Ladies’ Aid society of the Tabernacle,"December 11, 1895",,LOC Conundrum Supper
198,"internal-pdf://3020682829/The Jersey City news, January 20, 1894.pdf",,,"January 20, 1894",The Jersey City news,Contains eBOF; same event is referenced in the issue from January 19,"First Baptist church, Hoboken","Jersey City, New Jersey",6399, Newspaper Article,,N/A,N/A,"January 19, 1894",,LOC Conundrum Supper
199,"internal-pdf://3033283278/The Jersey City news, October 14, 1896.pdf",,,"October 14, 1896",The Jersey City news,,Chapel of the church,"Jersey City, New Jersey",6320, Newspaper Article,,Ladies’ Aid Society of the Greenville Reformed Church,Ladies’ Aid Society of the Greenville Reformed Church,N/A,,LOC Conundrum Supper
200,"internal-pdf://0209359415/The Jersey City news, October 29, 1892.pdf",,,"October 29, 1892",The Jersey City news,Same event is referenced in the issue from November 2,"Reynolds Memorial Chapel, No. 138 Avenue D","Jersey City, New Jersey",6401, Newspaper Article,,Ladies Aid society of the Bergen Point M.E. church,Ladies Aid society of the Bergen Point M.E. church,"November 01, 1892",,LOC Conundrum Supper
201,"internal-pdf://0476152433/The Jersey City news, October 07, 1893.pdf",,,"October 07, 1893",The Jersey City news,"Same event is referenced in the issues from October 10, October 14, and October 21",Dining room of the church,"Jersey City, New Jersey",6400, Newspaper Article,,Helping Hand society,Helping Hand society,"October 09, 1893",,LOC Conundrum Supper
202,"internal-pdf://0813632147/Juniata Sentinel and Repbulican, May 18, 1892.pdf",,,"May 18, 1892",Juniata Sentinel and Repbulican,Menu included.,A Harlem Church [?],"Mifflintown, Pennsylvania",5979, Newspaper Article,,N/A,N/A,N/A,,LOC Conundrum Supper
203,"internal-pdf://4131174013/Kansas City journal, March 05, 1899.pdf",,,"March 05, 1899",Kansas City journal,Contains eBOF w/ answers; has another ‘visual musicians’ riddle game,"Residence of Mrs. M.E. Nuss, 1231 Forest avenue","Kansas City, Missouri",6290, Newspaper Article,,Mrs. M.E. Nuss,Mrs. M.E. Nuss,"March 02, 1899",,LOC Conundrum Supper
204,"internal-pdf://3364544123/Keowee Courier, July 29, 1914.pdf",,,29-Jul-14,Keowee Courier,,Lawn of the Presbyterian Church,"Pickens Court House, South Carolina",5981, Newspaper Article,,Presbyterian Church,Presbyterian Church,24-Jul-14,,LOC Conundrum Supper
205,"internal-pdf://3685736328/The Kimball Graphic, February 10, 1894.pdf",,,"February 10, 1894",The Kimball Graphic,Mentioned on February 03.,Presbyterian church,"Kimball, South Dakota",5987, Newspaper Article,,YPSCE of the Presbyterian Church,YPSCE of the Presbyterian Church,"February 10, 1894",,LOC Conundrum Supper
206,"internal-pdf://2407636602/The L'Anse sentinel, November 18, 1911.pdf",,,18-Nov-11,The L’Anse sentinel,,L’Anse Town Hall,"L’Anse, Michigan",6258, Newspaper Article,,Ladies of the Sacred Heart,Ladies of the Sacred Heart,23-Nov-11,,LOC Conundrum Supper
207,"internal-pdf://1287859999/Las Vegas free press, April 09, 1892.pdf",,,"April 09, 1892",Las Vegas free press,Contains eBOF,N/A,"Las Vegas, New Mexico",6405, Newspaper Article,,Christian Endeavor society,Christian Endeavor society,"April 08, 1892",,LOC Conundrum Supper
208,"internal-pdf://1376710093/Lincoln County Leader, October 22, 1896.pdf",,,"October 22, 1896",Lincoln County Leader,,The hotel,"Toledo, Oregon",5955, Newspaper Article,,Ladies of Syringa Circle,Ladies of Syringa Circle,N/A,,LOC Conundrum Supper
209,"internal-pdf://2474738230/Lincoln County Leader, October 19, 1917.pdf",,,19-Oct-17,Lincoln County Leader,,N/A,"Toledo, Oregon",5963, Newspaper Article,,Ladies of the Syrhinga circle of the Woodmen’s Lodge,Ladies of the Syrhinga circle of the Woodmen’s Lodge,N/A,,LOC Conundrum Supper
210,"internal-pdf://1253207669/Little Falls transcript, December 02, 1892.pdf",,,"December 02, 1892",Little Falls transcript,,Rhodes-Tanner block,"Little Falls, Minnesota",6273, Newspaper Article,,Ladies of the Congregational church,Ladies of the Congregational church,"December 02, 1892",,LOC Conundrum Supper
211,"internal-pdf://1124311574/The Londonderry Sifter, August 11, 1893.pdf",,,"August 11, 1893",The Londonderry Sifter,,Town Hall,"South Londonderry, Vermont",6356, Newspaper Article,,The Epworth League,The Epworth League,"August 16, 1893",,LOC Conundrum Supper
212,"internal-pdf://3765360630/The Londonderry Sifter, December 23, 1892.pdf",,,"December 23, 1892",The Londonderry Sifter,,N/A,"South Londonderry, Vermont",6355, Newspaper Article,,Young people,Young people,"December 15, 1892",,LOC Conundrum Supper
213,,,,"October 13, 1893",The Londonderry Sifter,,N/A,"South Londonderry, Vermont",6357, Newspaper Article,,The Methodist Society,The Methodist Society,N/A,,LOC Conundrum Supper
214,"internal-pdf://2557028566/The Londonderry Sifter, September 24, 1897.pdf",,,"September 24, 1897",The Londonderry Sifter,,Town Hall,"South Londonderry, Vermont",6354, Newspaper Article,,Young Ladies Aid Society,Young Ladies Aid Society,"September 24, 1897",,LOC Conundrum Supper
215,"internal-pdf://0631704561/The Londonerry Sifter, October 27, 1893.pdf",,,"October 27, 1893",The Londonerry Sifter,,Grange Hall,"South Londonerry, Vermont",6167, Newspaper Article,,N/A,N/A,"November 03, 1893",,LOC Conundrum Supper
216,"internal-pdf://3130390639/Los Angeles herald, April 26, 1908.pdf",,,26-Apr-08,Los Angeles herald,,Lindley hall (1605 South Main street),"Hancock, California",6017, Newspaper Article,,Junior Order United American Mechanics,Junior Order United American Mechanics,30-Apr-08,,LOC Conundrum Supper
217,"internal-pdf://3516616712/Los Angeles herald, March 21, 1892.pdf",,,"March 21, 1892",Los Angeles herald,,Church,"Los Angeles, California",6011, Newspaper Article,,Young ladies of the University M.E. Sunday school,Young ladies of the University M.E. Sunday school,"March 16, 1892",,LOC Conundrum Supper
218,"internal-pdf://3287535804/The Madison Daily Leader, January 29, 1892.pdf",,,"January 29, 1892",The Madison Daily Leader,,Baptist Church,"Madison, South Dakota",5992, Newspaper Article,,The Baptist Young People,The Baptist Young People,"January 30, 1892",,LOC Conundrum Supper
219,"internal-pdf://3333574073/The Madisonian, February 22, 1896.pdf",,,"February 22, 1896",The Madisonian,Contains eBOF,Good Templat’s hall,"Sheridan, Montana",6300, Newspaper Article,,Methodist Ladies of Sheridan,Methodist Ladies of Sheridan,"February 14, 1896",,LOC Conundrum Supper
220,"internal-pdf://1101513925/The Mahoning Dispatch, May 10, 1918.pdf",,,10-May-18,The Mahoning Dispatch,,Presbyterian Church,"Columbus, Ohio",5938, Newspaper Article,,N/A,N/A,N/A,,LOC Conundrum Supper
221,"internal-pdf://1449228398/The Marion daily mirror, April 19, 1907.pdf",,,19-Apr-07,The Marion daily mirror,,N/A,"Marion, Ohio",6421, Newspaper Article,,Young People’s Christian Endeavor society of the Reformed church AND Miss Grace Queen of Fountain street,Young People’s Christian Endeavor society of the Reformed church AND Miss Grace Queen of Fountain street,18-Apr-07,,LOC Conundrum Supper
222,"internal-pdf://4146382458/Medford Mail Tribune, March 27, 1910.pdf",,,27-Mar-10,Medford Mail Tribune,Mentioned in on March 27 and April 03,Church parlors,"Medford, Oregon",5948, Newspaper Article,,Ladies of the Christian Church,Ladies of the Christian Church,1-Apr-10,,LOC Conundrum Supper
223,"internal-pdf://1022963858/Middlebury Register, February 14, 1902.pdf",,,14-Feb-02,Middlebury Register,,Home of Mr and Mrs A.W. Foote,"Middlebury, Vermont",6365, Newspaper Article,,N/A,N/A,18-Feb-02,,LOC Conundrum Supper
224,"internal-pdf://2439907591/Middlebury Register, March 25, 1898.pdf",,,"March 25, 1898",Middlebury Register,,Good Templars’ Hall,"Middlebury, Vermont",6363, Newspaper Article,,N/A,N/A,"March 16, 1898",,LOC Conundrum Supper
225,"internal-pdf://1335354336/Middletown transcript, May 25, 1901.pdf",,,25-May-01,Middletown transcript,,N/A,"Delaware City, Delaware",6064, Newspaper Article,,Ladies of the Organ Society of the M.E. Church,Ladies of the Organ Society of the M.E. Church,N/A,,LOC Conundrum Supper
226,"internal-pdf://3287385117/The midland journal, July 11, 1902.pdf",,,11-Jul-02,The midland journal,Same event is referenced twice in the same issue and in the issue from July 18,"Residence of A.L. Gilford, College Green","Farmington, Maryland",6232, Newspaper Article,,Ebenezer M.E. choir,Ebenezer M.E. choir,12-Jul-02,,LOC Conundrum Supper
227,"internal-pdf://3386519672/The midland journal, October 21, 1892.pdf",,,"October 21, 1892",The midland journal,,Chapel adjoining the church,"West Nottingham, Maryland",6233, Newspaper Article,,Ladies of west Nottingham Presbyterian Church,Ladies of west Nottingham Presbyterian Church,"November 01, 1892",,LOC Conundrum Supper
228,"internal-pdf://3980971911/Mineral Point Tribune, April 16, 1892.pdf",,,"April 16, 1892,",Mineral Point Tribune,"Also mentioned April 23. Also mentioned in the Iowa County Democrat, April 22, 1892 issue.",M.E. Church,"Mineral Point, Wisconsin",6438, Newspaper Article,,Epworth League,Epworth League,"April 1629, 1892,",,LOC Conundrum Supper
229,"internal-pdf://3442649987/The Minneapolis journal, January 21, 1901.pdf",,,21-Jan-01,The Minneapolis journal,,Primary department roome of Gethsemane church,"Minneapolis, Minnesota",6265, Newspaper Article,,Woman’s Guild of S.Tomas mission,Woman’s Guild of S.Tomas mission,22-Jan-01,,LOC Conundrum Supper
230,"internal-pdf://2534935304/The Minneapolis journal, March 24, 1904.pdf",,,24-Mar-04,The Minneapolis journal,,Residence of Mrs. O.B. Sprague,"Minneapolis, Minnesota",6263, Newspaper Article,,Mrs. O.B. Sprague,Mrs. O.B. Sprague,22-Mar-04,,LOC Conundrum Supper
231,"internal-pdf://3194224867/The Minneapolis journal, October 13, 1902.pdf",,,13-Oct-02,The Minneapolis journal,Same event is referenced in the issue from October 21,Powderhorn hall,"Minneapolis, Minnesota",6274, Newspaper Article,,"Sycamore camp, R.N.A.","Sycamore camp, R.N.A.",22-Oct-02,,LOC Conundrum Supper
232,"internal-pdf://4236290619/The Mitchell Capital, February 25, 1898.pdf",,"February 25, 1898",,The Mitchell Capital,Also mentioned February 04.,G.A.R Ball,"Mitchell, South Dakota",5988, Newspaper Article,,Ladies of the WRC,Ladies of the WRC,"February 22, 1898",,LOC Conundrum Supper
233,"internal-pdf://0382697711/Montpelier examiner, February 21, 1919.pdf",,,21-Feb-19,Montpelier examiner,Same event is referenced in the issue from February 28,First ward hall,"Montpelier, Idaho",6083, Newspaper Article,,Sunday school,Sunday school,28-Feb-19,,LOC Conundrum Supper
234,"internal-pdf://2648102641/Morning appeal, April 17, 1891.pdf",,,"April 17, 1891",Morning appeal,"Same event is referenced in the issues from April 16, April 18, April 19, and April 21",Odd Fellow’s hall,"Carson City, Nevada",6313, Newspaper Article,,Young People’s Endeavor society of the Presbyterian church,Young People’s Endeavor society of the Presbyterian church,"April 21, 1891",,LOC Conundrum Supper
235,"internal-pdf://2953234489/The morning call, January 16, 1893.pdf",,,"January 16, 1893",The morning call,Contains eBOF; contains more information than usual; event is also referenced on issues from Jan 7th and Jan 9th,"The parlors of their church, on Geary street, between Gough and Octavia","San Francisco, California",6019, Newspaper Article,,Ladies of the First English Lutheran Church,Ladies of the First English Lutheran Church,"January 12, 1893",,LOC Conundrum Supper
236,"internal-pdf://2040651429/Morning journal and courier, February 10, 1893.pdf",,,"February 10, 1893",Morning journal and courier,Same event is referenced in the Feb. 17th issue,Church parlors,"Fair Haven, Connecticut",6028, Newspaper Article,,Ladies of the Grand avenue Baptist church,Ladies of the Grand avenue Baptist church,"February 15, 1893",,LOC Conundrum Supper
237,"internal-pdf://1376710092/Morning journal and courier, February 24, 1893.pdf",,,"February 24, 1893",Morning journal and courier,Contains eBOF; Same event is referenced in the Feb. 23rd issue,First Methodist church,"New Haven, Connecticut",6029, Newspaper Article,,Y.P.S.C.E.,Y.P.S.C.E.,"February 23, 1893",,LOC Conundrum Supper
238,"internal-pdf://3616831737/Morning journal and courier, January 02, 1894.pdf",,,"January 2, 1894",Morning journal and courier,,Residence of Mr. and Mrs. Samuel Bishop (95 Grand avenue),"Fair Haven, Connecticut",6027, Newspaper Article,,"The W.C.T.U., the Ladies’ Aid Society of the M.E. Church, and St. Ignatius’ Society","The W.C.T.U., the Ladies’ Aid Society of the M.E. Church, and St. Ignatius’ Society","January 1, 1894",,LOC Conundrum Supper
239,"internal-pdf://1687926647/Morning journal and courier, May 21, 1894.pdf",,,"May 21, 1894",Morning journal and courier,Contains eBOF; Same event as one referenced in May 12th issue,Memorial hall,"Noth Haven, Connecticut",6030, Newspaper Article,,King’s Daughters of St. John’s parish,King’s Daughters of St. John’s parish,"May 18, 1894",,LOC Conundrum Supper
240,"internal-pdf://1704365079/Mower County transcript, December 16, 1896.pdf",,,"December 16, 1896",Mower County transcript,,Residence of Mrs. T. Varco,"Lansing, Minnesota",6260, Newspaper Article,,N/A,N/A,"December 16, 1896",,LOC Conundrum Supper
241,"internal-pdf://4265905638/Mower County transcript, December 09, 1896.pdf",,,"December 09, 1896",Mower County transcript,,Residence of Mrs. T. Varco’s,"Lansing, Minnesota",6280, Newspaper Article,,N/A,N/A,"December 16, 1896",,LOC Conundrum Supper
242,"internal-pdf://1611278889/Mrs Grundy, February 12, 1914.pdf",,,12-Feb-14,Mrs. Grundy,Menu included.,Dixie Theater,"Tracy City, Tennessee",5994, Newspaper Article,,Ladies of Episcopal Church,Ladies of Episcopal Church,16-Feb-14,,LOC Conundrum Supper
243,"internal-pdf://4084960724/The Mt. Sterling advocate, June 16, 1896.pdf",,,"June 16, 1896",The Mt. Sterling advocate,Contains eBOF; same event is referenced in the issue from June 09,Mrs. Mary Samuel’s lawn,"Mt. Sterling, Kentucky",6201, Newspaper Article,,Ladies of the Southern Presbytarian Church,Ladies of the Southern Presbytarian Church,"June 18, 1896",,LOC Conundrum Supper
244,"internal-pdf://1402586704/The National tribune, April 06, 1893.pdf",,,"April 6, 1893",The National tribune,,G.A.R. Hall,Washington D.C.,6068, Newspaper Article,,"Thomas G. Stevenson Corps, 63 Roxbury","Thomas G. Stevenson Corps, 63 Roxbury",N/A,,LOC Conundrum Supper
245,"internal-pdf://2706896568/The National tribune, May 14, 1896.pdf",,,"May 14, 1896",The National tribune,Cancelled CS,N/A,Washington D.C.,6069, Newspaper Article,,G.A.R. and W.R.C.,G.A.R. and W.R.C.,N/A,,LOC Conundrum Supper
246,"internal-pdf://1722060046/The Nebraska advertiser, June 30, 1899.pdf",,,"June 30, 1899",The Nebraska advertiser,,N/A,"Nemaha City, Nebraska",6304, Newspaper Article,,Christian Sunday school,Christian Sunday school,"June 24, 1899",,LOC Conundrum Supper
247,"internal-pdf://4013483726/The Nebraska advertiser, February 26, 1904.pdf",,,26-Feb-04,The Nebraska advertiser,,Residence of A.N. Harris,"Nemaha City, Nebraska",6312, Newspaper Article,,Bethel (Shockey) Sunday school,Bethel (Shockey) Sunday school,4-Mar-04,,LOC Conundrum Supper
248,"internal-pdf://3182432943/Newark post, October 25, 1911.pdf",,,25-Oct-11,Newark post,Same event is referenced elsewhere in the same newspaper and in the issue from October 04,The Hall,"Newark, Delaware",6063, Newspaper Article,,The grange,The grange,12-Oct-11,,LOC Conundrum Supper
249,"internal-pdf://1395405989/The Newport Miner, June 10, 1909.pdf",,,10-Jun-09,The Newport Miner,Menu included.,Methodist Church Parlors,"Newport, Washington",6394, Newspaper Article,,N/A,N/A,15-May-09,,LOC Conundrum Supper
250,"internal-pdf://2005333949/The Newport Plain Talk, September 30, 1914.pdf",,,30-Sep-14,The Newport Plain Talk,,Parrottsville High School,"Newport, Tennessee",5995, Newspaper Article,,Methodist Episcopal,Methodist Episcopal,2-Oct-14,,LOC Conundrum Supper
251,"internal-pdf://3617318124/News and Citizen, March 11, 1908.pdf",,,11-Mar-08,News and Citizen,,Church parlors,"Morrisville, Vermont",6166, Newspaper Article,,N/A,N/A,5-Mar-08,,LOC Conundrum Supper
252,"internal-pdf://4089174006/News and Citizen, March 15, 1894.pdf",,,"March 15, 1894",News and Citizen,,Church vestry,"Morrisville, Vermont",6128, Newspaper Article,,N/A,N/A,"March 16, 1894",,LOC Conundrum Supper
253,"internal-pdf://4059243600/The News-Herald, March 22, 1894.pdf",,,"March 22, 1894",The News-Herald,,Methodist Church at Samantha,"Hillsboro, Ohio",5942, Newspaper Article,,N/A,N/A,"March 23, 1894",,LOC Conundrum Supper
254,"internal-pdf://1713258265/The Newtown bee, December 14, 1894.pdf",,,"December 14, 1894",The Newtown bee,,N/A,"Southport, Connecticut",6039, Newspaper Article,,King’s Daughters,King’s Daughters,"December 13, 1894",,LOC Conundrum Supper
255,"internal-pdf://3138376565/The Newtown bee, February 17, 1899.pdf",,,"February 17, 1899",The Newtown bee,Same event is referenced in the issue from February 24,Church parlors,"Kent, Connecticut",6042, Newspaper Article,,Young Ladies of the Mission circle,Young Ladies of the Mission circle,"February 17, 1899",,LOC Conundrum Supper
256,"internal-pdf://3211441675/The Newtown bee, February 16, 1894.pdf",,,"February 16, 1894",The Newtown bee,Same event is referenced in the March 02 issue,"Parish House, South Britain","South Britain, Connecticut",6033, Newspaper Article,,N/A,N/A,"February 22, 1894",,LOC Conundrum Supper
257,"internal-pdf://3617318125/The Newtown bee, March 02, 1894.pdf",,,"March 02, 1894",The Newtown bee,There is another CS reference (distinct) in this issue indicated with the February 16th issue,Bouton’s hall,"Georgetown, Connecticut",6034, Newspaper Article,,Ladies of the Congregational church,Ladies of the Congregational church,"February 28, 1894",,LOC Conundrum Supper
258,"internal-pdf://0631704562/The Newtown bee, February 02, 1894.pdf",,,"February 02, 1894",The Newtown bee,Same event is referenced in the January 19 issue.,The rectory,"Brookfield, Connecticut",6035, Newspaper Article,,Ladies of St Paul’s Guild,Ladies of St Paul’s Guild,"January 24, 1894",,LOC Conundrum Supper
259,"internal-pdf://3520709983/The Newtown bee, March 15, 1895.pdf",,,"March 15, 1895",The Newtown bee,,Residence of Miss Julia Thorp,"Nichols, Connecticut",6040, Newspaper Article,,Y.P.S.C.E.,Y.P.S.C.E.,"March 21, 1895",,LOC Conundrum Supper
260,"internal-pdf://2474738229/The Newtown bee, May 14, 1909.pdf",,,14-May-09,The Newtown bee,,Grange hall,"Easton, Connecticut",6036, Newspaper Article,,Ladies’ Aid society of the Congregational church,Ladies’ Aid society of the Congregational church,8-May-09,,LOC Conundrum Supper
261,"internal-pdf://0111537760/The Newtown bee, May 14, 1897.pdf",,,"May 14, 1897",The Newtown bee,,The hall,"Bantam, Connecticut",6043, Newspaper Article,,King’s Daughters,King’s Daughters,"May 19, 1897",,LOC Conundrum Supper
262,"internal-pdf://2511712088/The Newtown bee, November 24, 1893.pdf",,,"November 24, 1893",The Newtown bee,Contains eBOF; Same event as the one referenced in the Nov. 3rd issue,N/A,"Morris, Connecticut",6032, Newspaper Article,,Y.P.S.C.E.,Y.P.S.C.E.,"November 16, 1893",,LOC Conundrum Supper
263,"internal-pdf://3264626262/The Newtown bee, October 04, 1895.pdf",,,"October 04, 1895",The Newtown bee,,Residence of J.S. Sanford,"Redding, Connecticut",6041, Newspaper Article,,Faithful Workers of the Methodist church,Faithful Workers of the Methodist church,"October 04, 1895",,LOC Conundrum Supper
264,"internal-pdf://0352406214/The Newtown bee, October 22, 1909.pdf",,,22-Oct-09,The Newtown bee,,N/A,"Easton, Connecticut",6037, Newspaper Article,,The grange,The grange,12-Oct-09,,LOC Conundrum Supper
265,"internal-pdf://2260289375/The Newtown bee, August 31, 1894.pdf",,,"August 31, 1894",The Newtown bee,Contains eBOF,N/A,"Newtown, Connecticut",6038, Newspaper Article,,Ladies of the Congregational church,Ladies of the Congregational church,"September 07, 1894",,LOC Conundrum Supper
266,"internal-pdf://3651368883/The Norfolk weekly news-journal, November 29.pdf",,,29-Nov-01,The Norfolk weekly news-journal,,N/A,"Norfolk, Nebraska",6306, Newspaper Article,,Ladies guild of Trinity church,Ladies guild of Trinity church,4-Dec-01,,LOC Conundrum Supper
267,"internal-pdf://0389040740/The North Platte semi-weekly tribune, January.pdf",,,21-Jan-02,The North Platte semi-weekly tribune,,McNeel school house,"North Platte, Nebraska",6308, Newspaper Article,,Harmony Sunday-school,Harmony Sunday-school,17-Jan-02,,LOC Conundrum Supper
268,"internal-pdf://3422857387/Norwich bulletin, February 21, 1914.pdf",,,21-Feb-14,Norwich bulletin,,Grange hall,"Ekonk, Connecticut",6046, Newspaper Article,,The grange,The grange,20-Feb-14,,LOC Conundrum Supper
269,"internal-pdf://1869470120/Norwich bulletin, March 23, 1909.pdf",,,23-Mar-09,Norwich bulletin,Same event referenced in the issue from March 24,N/A,"Norwich, Connecticut",6045, Newspaper Article,,N/A,N/A,25-Mar-09,,LOC Conundrum Supper
270,"internal-pdf://2053999927/Norwich bulletin, May 07, 1910.pdf",,,7-May-10,Norwich bulletin,,Baptist church parlors,"Waterford, Connecticut",6025, Newspaper Article,,The Sunshiners,The Sunshiners,3-May-10,,LOC Conundrum Supper
271,"internal-pdf://2550207930/Norwich bulletin, May 31, 1913.pdf",,,31-May-13,Norwich bulletin,Same event as one referenced in May 29th issue,Church parlors,"Lebanon, Connecticut",6031, Newspaper Article,,The Christian Endeavor society,The Christian Endeavor society,27-May-13,,LOC Conundrum Supper
272,"internal-pdf://0945117271/Norwich bulletin, October 20, 1910.pdf",,,20-Oct-10,Norwich bulletin,"Contains eBOF; Despite the proximity to the Oct. 22 issue CS, they appear to be different events",Vestry of the Trinity Methodist church,"Norwich, Connecticut",6023, Newspaper Article,,Ladies of the Methodist church,Ladies of the Methodist church,19-Oct-10,,LOC Conundrum Supper
273,"internal-pdf://2639189047/Norwich bulletin, October 22, 1910.pdf",,,22-Oct-10,Norwich bulletin,"Despite proximity to the CS referenced on the issue from Oct. 20, they appear to be different events",Church parlors,"Norwich, Connecticut",6024, Newspaper Article,,Sunday school of First Baptist church,Sunday school of First Baptist church,21-Oct-10,,LOC Conundrum Supper
274,"internal-pdf://1431419375/The Ocala evening star, December 19, 1900.pdf",,,19-Dec-00,The Ocala evening star,,Mitchell Hall,"Ocala, Florida",6071, Newspaper Article,,Howard Academy’s Primary Department,Howard Academy’s Primary Department,21-Dec-00,,LOC Conundrum Supper
275,"internal-pdf://1776808929/The Ocala evening star, June 05, 1905.pdf",,,5-Jun-05,The Ocala evening star,Same event is referenced in the issues from May 26 and May 30,Odd Fellows’ Hall,"Ocala, Flordia",6073, Newspaper Article,,Trustees of Mt. Zion A. M.E. church,Trustees of Mt. Zion A. M.E. church,5-Jun-05,,LOC Conundrum Supper
276,"internal-pdf://3260985860/Omaha daily bee, April 11, 1891.pdf",,,"April 11, 1891",Omaha daily bee,,M.E. church,"Osceola, Nebraska",6303, Newspaper Article,,Epworth league,Epworth league,"April 08, 1891",,LOC Conundrum Supper
277,"internal-pdf://4089174005/Omaha daily bee, February 15, 1891.pdf",,,"February 15, 1891",Omaha daily bee,,Corner of Twentieth and Capitol avenue,"Omaha, Nebraska",6311, Newspaper Article,,Ladies of the First Christian church,Ladies of the First Christian church,"February 19, 1891",,LOC Conundrum Supper
278,"internal-pdf://0337453823/Omaha daily bee, March 11, 1895.pdf",,,"March 11, 1895",Omaha daily bee,,Hall in the Continental block,"Omaha, Nebraska",6310, Newspaper Article,,"Life Boat lodge No. 150, Independent Order of Good Templars","Life Boat lodge No. 150, Independent Order of Good Templars","March 28, 1895",,LOC Conundrum Supper
279,"internal-pdf://1402961679/Omaha daily bee, March 26, 1905.pdf",,,26-Mar-05,Omaha daily bee,,"Workmen temple, 110 and 112 North Fourteenth street","Omaha, Nebraska",6309, Newspaper Article,,"Social lodge, No. 110","Social lodge, No. 110",30-Mar-05,,LOC Conundrum Supper
280,"internal-pdf://2283978988/Omaha daily bee, May 03, 1900.pdf",,,3-May-00,Omaha daily bee,,N/A,"Omaha, Nebraska",6305, Newspaper Article,,Woman’s auxillary of the Church of Saint Phillip the Deacon,Woman’s auxillary of the Church of Saint Phillip the Deacon,"May 02, 1900 AND May 03, 1900",,LOC Conundrum Supper
281,"internal-pdf://4146382455/The Opelousas courier, December 21, 1895.pdf",,,"December 21, 1895",The Opelousas,,St. Landry High School,"Opelousas, Louisiana",6204, Newspaper Article,,N/A,N/A,"December 23, 1895",,LOC Conundrum Supper
282,"internal-pdf://2733719027/Orleans County Monitor, April 20, 1921.pdf",,,20-Apr-21,Orleans County Monitor,,N/A,"Barton, Vermont",6346, Newspaper Article,,Star and Iscah class,Star and Iscah class,22-Apr-21,,LOC Conundrum Supper
283,"internal-pdf://2426206504/Orleans County Monitor, April 20, 1921.pdf",,,20-Apr-21,Orleans County Monitor,,N/A,"Barton, Vermont",6141, Newspaper Article,,Star and Iscah classes,Star and Iscah classes,23-Apr-21,,LOC Conundrum Supper
284,"internal-pdf://3211441674/Orleans County Monitor, August 11, 1909.pdf",,,11-Aug-09,Orleans County Monitor,,M.E. Vestry,"Barton, Vermont",6165, Newspaper Article,,N/A,N/A,17-Aug-09,,LOC Conundrum Supper
285,"internal-pdf://2625518592/Orleans County Monitor, December 11, 1899.pdf",,,"December 11, 1899",Orleans County Monitor,,Town hall,"Barton, Vermont",6328, Newspaper Article,,Ladies’ Circle of the Congregational church,Ladies’ Circle of the Congregational church,"December 04, 1899",,LOC Conundrum Supper
286,"internal-pdf://2040651428/Orleans County Monitor, December 10, 1894.pdf",,,"December 10, 1894",Orleans County Monitor,,M.E. Church,"Barton, Vermont",6160, Newspaper Article,,N/A,N/A,"December 13, 1894",,LOC Conundrum Supper
287,"internal-pdf://2550207929/Orleans County Monitor, December 11, 1912.pdf",,,11-Dec-12,Orleans County Monitor,Also mentioned December 04.,Erwin’s hall,"Barton, Vermont",6163, Newspaper Article,,The Gleaners,The Gleaners,18-Dec-12,,LOC Conundrum Supper
288,"internal-pdf://1687926646/Orleans County Monitor, February 02, 1910.pdf",,,2-Feb-10,Orleans County Monitor,,Church dining room,"Barton, Vermont",6162, Newspaper Article,,Epworth League,Epworth League,4-Feb-10,,LOC Conundrum Supper
289,"internal-pdf://0037487769/Orleans County Monitor, February 09, 1903.pdf",,,9-Feb-03,Orleans County Monitor,,G.A.R. Hall,"Barton, Vermont",6326, Newspaper Article,,The Young Peoples’ Literary Circle,The Young Peoples’ Literary Circle,6-Feb-03,,LOC Conundrum Supper
