,Unnamed: 0,Unnamed: 0.1,UN,Riddle,Answer,BOFs containing riddle,Number of times used,Dish,Notes,Hints,BOF_Appearance_Number,Corrosponding eBOF riddle
251,251,251,UR_494,Cereal Compound (concentrated sweetness) / Calorified Cereal Compound / Sweet Compound,,"The Newport Miner June 10, 1909; The Portland daily press November 22, 1895; Perrysburg Journal November 21, 1891;  Oxford Democrat January 05, 1909;",,,,,5.0,
252,252,252,UR_495,Love's Token,,"The Newport Miner June 10, 1909",,,,,1.0,
253,253,253,UR_496,Curious Composition (Curious Combination),(Scalloped Oysters),"The Newport Miner June 10, 1909; Sag-Harbor Express March 04, 1909;",,,,,3.0,
254,254,254,UR_497,Sliced Maple / Sliced Sweetness,,"The Newport Miner June 10, 1909; Virginian-Pilot October 25, 1899;",,,,,3.0,
255,255,255,UR_498,Quivering Dainties,,"The Newport Miner June 10, 1909",,,,,1.0,
256,256,256,UR_499,Colored Garnish,,"The Newport Miner June 10, 1909",,,,,1.0,
257,257,257,UR_500,True Cake,,"Evening times-Republican October 10, 1906;",,,,,2.0,
258,258,258,UR_501,Earth's Apples / Apple Salad,Potatoes / Potatoe salad,"The Newport Miner June 10, 1909; Chatham Courier February 26, 1913; The East Hampton Star November 18, 1898;",,,,,4.0,
259,259,259,UR_502,A Marine Animal,,"The Rice belt journal March 17, 1916",,,,,1.0,
260,260,260,UR_503,Mixed Up Type / Mass of Type / General Mix-Up,,"The Rice belt journal March 17, 1916; The Daily News Batavia February 19, 1914; The Morning Albertan September 20, 1909; ",,,,,3.0,
261,261,261,UR_504,Tear Drops,Onions?,"The Rice belt journal March 17, 1916",,,,,1.0,
262,262,262,UR_505,Condensed Fruit Juice / Berry Juice / Extract,Jelly?,"The Rice belt journal March 17, 1916; Juniata Sentinel and Repbulican May 18, 1892; The Madisonian February 22, 1896;",,,,,4.0,
263,263,263,UR_506,A Tight Squeeze / What to Do When Squeezed,,"The Rice belt journal March 17, 1916; Morning journal and courier February 24, 1893;",,,,,3.0,
264,264,264,UR_507,Sad Predicaments,,"The Rice belt journal March 17, 1916",,,,,1.0,
265,265,265,UR_508,Too Good for You,,"The Rice belt journal March 17, 1916",,,,,1.0,
266,266,266,UR_509,A Silenced Squealer,Mashed Peaches?,"The Rice belt journal March 17, 1916",,,,,1.0,
267,267,267,UR_510,Turns Over and Over,Rolls,"The Rice belt journal March 17, 1916; The Prince Rupert Optimist June 07, 1910; The Plattsburgh Sentinel April 15, 1910;",,,,,4.0,
268,268,268,UR_511,Pearls Cast Among Swine,Boston Beans,"The daily morning journal and courier March 11, 1901; Morning journal and courier February 24, 1893;",,,,,3.0,
269,269,269,UR_512,Berries Roasted and Boiled - Sweetened to Taste,,"The daily morning journal and courier March 11, 1901; The Harlowton news August 05, 1910;",,,,,3.0,
270,270,270,UR_513,Oil Well Before Using,,"The daily morning journal and courier March 11, 1901",,,,,1.0,
271,271,271,UR_514,Many Ingredients Concreted - Assorted,,"The daily morning journal and courier March 11, 1901",,,,,1.0,
272,272,272,UR_515,The Rat's / Mouse's Friend / Favorite / Delight,Cheese,"The daily morning journal and courier March 11, 1901; Morning journal and courier February 24, 1893; The Evening Gazette Port Jarvis May 23, 1923;",,,,,4.0,
273,273,273,UR_516,A Texas Steer - Chopped and Spiced,,"The daily morning journal and courier March 11, 1901",,,,,1.0,
274,274,274,UR_517,Shell Fruit in Layers - Baked,,"The daily morning journal and courier March 11, 1901",,,,,1.0,
275,275,275,UR_518,Billy Goat and Uneeda?? / Billy's Best / Playful Billy Goat,,"The daily morning journal and courier March 11, 1901; The Dickinson press February 13, 1892; The County Review Riverhead March 22, 1912; Gouverneur Free Press March 11, 1896; Facts and Fallacies March 23, 1916;",,,,,6.0,
276,276,276,UR_519,Pickled Fruit - Pastor's Favorite,,"The daily morning journal and courier March 11, 1901",,,,,1.0,
277,277,277,UR_520,An American Author / A Celebrated Author,,"The aegis & intelligencer March 15, 1901; Belmont Chronicle December 10, 1891; Fort Worth Gazette February 05, 1892;",,,,,4.0,
278,278,278,UR_521,The Irish for Tea,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
279,279,279,UR_522,A Part of the Foot,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
280,280,280,UR_523,A Color,Orange?,"The aegis & intelligencer March 15, 1901",,,,,1.0,UR_212
281,281,281,UR_524,To Put Under the Ground,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
282,282,282,UR_525,Employment of Some Women and the Dread of All,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
283,283,283,UR_526,Drawing with the Mouth,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
284,284,284,UR_527,A Narrow Bed,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
285,285,285,UR_528,A Kind of Tree,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
286,286,286,UR_529,Part of a House and a Letter,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
287,287,287,UR_530,A Favorite Oriental Beverage / Oriental Delight,Coffee,"The aegis & intelligencer March 15, 1901; St Johnsbury Caledonian September 27, 1911; Burlington Weekly Free Press January 26, 1893;",,,,,4.0,
288,288,288,UR_531,A Doll's Composition,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
289,289,289,UR_532,A Personal Pronoun (in agony),,"The aegis & intelligencer March 15, 1901; Mrs. Grundy February 12, 1914;",,,,,3.0,
290,290,290,UR_533,Bivalvular Mollusks with Fireworks,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
291,291,291,UR_534,Married People / Couple,Pear,"The aegis & intelligencer March 15, 1901; The Evening Gazette Port Jarvis May 23, 1923;",,,,,3.0,UR_21
292,292,292,UR_535,Chopped Stupidity,,"The aegis & intelligencer March 15, 1901; Evening journal June 05, 1913;",,,,,3.0,
293,293,293,UR_536,A Popular Resort,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
294,294,294,UR_537,A Carpenter's Sign,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
295,295,295,UR_538,A Lacking Quantity in Jarrettsville and Surrounding Country,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
296,296,296,UR_539,An Accompaniment to a Cold,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
297,297,297,UR_540,The Delight of a Lawyer,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
298,298,298,UR_541,Shopped Contention,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
299,299,299,UR_542,Sumptuously Seasoned,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
300,300,300,UR_543,What Pharaoh Saw in a Dream,Cows?,"The aegis & intelligencer March 15, 1901",,,,,1.0,
301,301,301,UR_544,Parson Prey,,"The aegis & intelligencer March 15, 1901",,,,,1.0,
302,302,302,UR_545,An Industrious creature / Insect and a Letter,Beef? ,"The aegis & intelligencer March 15, 1901",,,,,1.0,
303,303,303,UR_546,Split Dead-Head,,"Audubon County journal October 30, 1913",,Main,,,1.0,
304,304,304,UR_547,What you Never Will?? Do if You Keep on Doing as You are Doing Now,,"Audubon County journal October 30, 1913",,Main,,,1.0,
305,305,305,UR_548,Salamagundi??,,"Audubon County journal October 30, 1913",,Main,,,1.0,
306,306,306,UR_549,Irishman's Favorite / Patrick's Favorite / Delight / Relish / Toes,Potatoes,"Audubon County journal October 30, 1913; Grand Rapids herald May 15, 1892; The Florida agriculturist August 29, 1906; Willmar tribune April 20, 1897; The Northern Advance April 7, 1898; The Kingsville Reporter January 8, 1931; ",,Main,,,6.0,
307,307,307,UR_550,Whip Tips / Whiplashes,,"Audubon County journal October 30, 1913; Fergus County argus May 18, 1904; The Madisonian February 22, 1896; The Phoenix Pioneer March 07, 1903; The Northern Advance April 7, 1898; ",,Dessert,,,5.0,
308,308,308,UR_551,Floating Island,,"Audubon County journal October 30, 1913",,Dessert,,,1.0,
309,309,309,UR_552,A Tramp's Breakfast TK,,"Audubon County journal October 30, 1913",,Dessert,,,1.0,
310,310,310,UR_553,Young Men's Favorite Fruit,,"Audubon County journal October 30, 1913",,Dessert,,,1.0,
311,311,311,UR_554,What Young Men are Fond of,,"Audubon County journal October 30, 1913",,Dessert,,,1.0,
312,312,312,UR_555,Oliver Twist,Fried Cakes,"St Johnsbury Caledonian September 27, 1911; The Daily Sentinel April 14, 1900;",,,,,3.0,
313,313,313,UR_556,(Hashed) Bovine,Beef? ,"St Johnsbury Caledonian September 27, 1911; Wyoming County Times Warsaw March 17, 1892;",,,,,3.0,
314,314,314,UR_557,Feline Sauce,Catsup?,"St Johnsbury Caledonian September 27, 1911",,,,,1.0,
315,315,315,UR_558,Lot's Wife,Salt?,"St Johnsbury Caledonian September 27, 1911",,,,,1.0,
316,316,316,UR_559,Cramp and Colic Cure,,"St Johnsbury Caledonian September 27, 1911",,,,,1.0,
317,317,317,UR_560,Tumble,,"St Johnsbury Caledonian September 27, 1911",,,,,1.0,
318,318,318,UR_561,Wood from a Noted / Celebrated Watering Place,Saratoga Chips / Potato chips,"Kansas City journal March 05, 1899; The Dickinson press February 13, 1892; Ithaca Daily Journal September 28, 1898; Chatham Courier February 26, 1913; The East Hampton Star November 18, 1898;",,,,,6.0,
319,319,319,UR_562,Klondike Nuggets,Lemon Ice / Cup Cakes,"Kansas City journal March 05, 1899; Ithaca Daily Journal September 28, 1898; Chatham Courier February 26, 1913; The East Hampton Star November 18, 1898;",,,,,5.0,
320,320,320,UR_563,Settled (Just) Above Ground,,"The Mt. Sterling advocate June 16, 1896; St. Johnsbury Caledonian February 21, 1896; Willmar tribune April 20, 1897; Norwood News January 27, 1903;",,,,,5.0,
321,321,321,UR_564,The Tenderest Lays of Summer,,"The Mt. Sterling advocate June 16, 1896; The Ravalli Republican February 24, 1897;",,,,,3.0,
322,322,322,UR_565,A Heathen Chince,,"The Mt. Sterling advocate June 16, 1896;",,,,,2.0,
323,323,323,UR_566,Something to Take,,"The Mt. Sterling advocate June 16, 1896; St. Johnsbury Caledonian February 21, 1896; Willmar tribune April 20, 1897;",,,,,4.0,
324,324,324,UR_567,Congealed Noise,,"The Mt. Sterling advocate June 16, 1896; Willmar tribune April 20, 1897;",,,,,3.0,
325,325,325,UR_568,Congealed Juice of the Fruit of the Tropics,Jelly?,"The Mt. Sterling advocate June 16, 1896; Watertown Times December 02, 1891;",,,,,3.0,
326,326,326,UR_569,Mount Hood,,"Corvallis Gazette March 09, 1906",,,,,1.0,
327,327,327,UR_570,Boston's Stronghold,,"Corvallis Gazette March 09, 1906;",,,,,2.0,
328,328,328,UR_571,Nuts Without Shells,Doughnuts?,"Corvallis Gazette March 09, 1906; Norwich bulletin October 20, 1910; The Madisonian February 22, 1896;",,,,,4.0,
329,329,329,UR_572,Lays of Ancient Rome Tears / Elegy of Tears,,"Corvallis Gazette March 09, 1906; The Saint Paul globe October 09, 1896;",,,,,3.0,
330,330,330,UR_573,Counterfelts??,,"The silver blade March 06, 1903;",,,,,2.0,
331,331,331,UR_574,Cut-Up Capers,,"The silver blade March 06, 1903;",,,,,2.0,
332,332,332,UR_575,Military Capsules,,"The silver blade March 06, 1903;",,,,,2.0,
333,333,333,UR_576,Lover's Delight,,"The silver blade March 06, 1903; The Bellefontaine Republican January 07, 1902;",,,,,3.0,
334,334,334,UR_577,Monkey's Delight,,"The silver blade March 06, 1903;",,,,,2.0,
335,335,335,UR_578,Grant,,"The silver blade March 06, 1903;",,,,,2.0,
336,336,336,UR_579,Mixed Chinese Lemons,,"The silver blade March 06, 1903;",,,,,2.0,
337,337,337,UR_580,Nuggets Nut Breakers,,"The silver blade March 06, 1903;",,,,,2.0,
338,338,338,UR_581,Sky High,,"The silver blade March 06, 1903;",,,,,2.0,
339,339,339,UR_582,Early Riser / An Early Man,,"Morning journal and courier May 21, 1894; Grand Rapids herald May 15, 1892; The Newtown bee August 31, 1894; The herald February 17, 1893;",,,,,5.0,
340,340,340,UR_583,Sand and Feminine of Wizards,Sandwich,"Morning journal and courier May 21, 1894",,,,,1.0,
341,341,341,UR_584,Part of a Bell,,"Morning journal and courier May 21, 1894; The Herald-Advance May 06, 1892;",,,,,3.0,
342,342,342,UR_585,Gardener's Enemy,,"Morning journal and courier May 21, 1894; The Newtown bee August 31, 1894;",,,,,3.0,
343,343,343,UR_586,German's Delight,,"Morning journal and courier May 21, 1894; The Newtown bee August 31, 1894;",,,,,3.0,
344,344,344,UR_587,Bean Cake,,"Morning journal and courier May 21, 1894; The Newtown bee August 31, 1894; The Daily Leader Gloversville November 17, 1892;",,,,,4.0,
345,345,345,UR_588,A Tropical Fruit and what We Like on Winter Evenings / A Tropical Tree,,"Morning journal and courier May 21, 1894; Belmont Chronicle December 10, 1891;",,,,,3.0,
346,346,346,UR_589,A Useful Article from the Ocean,,"Morning journal and courier May 21, 1894;",,,,,2.0,
347,347,347,UR_590,Landlady Stand by Between Two Crusts,Something with Sandwich?,"Morning journal and courier May 21, 1894;",,,,,2.0,
348,348,348,UR_591,Lover's Terror / Lover's Retreat,,"Morning journal and courier May 21, 1894; The Newtown bee August 31, 1894; Penn Yan Express March 16, 1892;",,,,,4.0,
349,349,349,UR_592,Enamel Preserves,,"Morning journal and courier May 21, 1894; The Newtown bee August 31, 1894; The Daily Leader Gloversville November 17, 1892;",,,,,4.0,
350,350,350,UR_593,What the Winter Always Does,Make me Coffee?,"The Saint Paul globe October 09, 1896; The Dickinson press February 13, 1892; St. Paul daily globe January 04, 1892;",,,,,4.0,
351,351,351,UR_594,Perpetual Motion,Tongue,"The Saint Paul globe October 09, 1896; The Newtown bee August 31, 1894; The Dickinson press February 13, 1892; The herald February 17, 1893; Las Vegas free press April 09, 1892; St. Paul daily globe January 04, 1892; Norwood News January 27, 1903; The County Review Riverhead May 18, 1923;",,,,,9.0,
352,352,352,UR_595,Paddy's Friends / Delight,"Tramps?? Check Hot Springs Weekly Star January 23, 1903;","Hot Springs Weekly Star January 23, 1903; The Morning Albertan September 20, 1909; ",,,,,2.0,y
353,353,353,UR_596,Georgians / Georgia Country Man,,"The Saint Paul globe October 09, 1896; Mrs. Grundy February 12, 1914;",,,,,3.0,
354,354,354,UR_597,Joy of Darwin's Ancestors,"Coconuts (The morning call January 16, 1893)","The Saint Paul globe October 09, 1896; St. Paul daily globe January 04, 1892; The Columbian April 26, 1892; Chatham Courier February 26, 1913; Cortland Standard February 19, 1901; The Elizabethtown Post November 23, 1893; The Amherstburg Echo March 2, 1894; ",,,,,7.0,
355,355,355,UR_598,Ruin of the World,Apples,"The Saint Paul globe October 09, 1896; The Herald-Advance May 06, 1892; The Dickinson press February 13, 1892; St. Paul daily globe January 04, 1892; The Columbian April 26, 1892; The morning call January 16, 1893; The Elizabethtown Post November 23, 1893;",,,,,8.0,UR_117
356,356,356,UR_599,Israel's Joy,,"Grand Rapids herald May 15, 1892;",,,,,2.0,UR_135 or UR_120
357,357,357,UR_600,A Consumptive Vowel / A Cold Vowel,Coffee,"Grand Rapids herald May 15, 1892; Norwich bulletin October 20, 1910; The Daily Sentinel April 14, 1900; Watertown Times December 02, 1891;",,,,,5.0,
358,358,358,UR_601,Jack's Delight,,"Grand Rapids herald May 15, 1892;",,,,,2.0,
359,359,359,UR_602,Smartness,,"Grand Rapids herald May 15, 1892;",,,,,2.0,
360,360,360,UR_603,Sharpness,,"Grand Rapids herald May 15, 1892;",,,,,2.0,
361,361,361,UR_604,Fruit of the Forest,,"Grand Rapids herald May 15, 1892; Evening journal June 05, 1913; Norwood News January 27, 1903;",,,,,4.0,
362,362,362,UR_605,Sweets from Greece / Taken from Greece,,"Grand Rapids herald May 15, 1892; Facts and Fallacies March 23, 1916;",,,,,3.0,
363,363,363,UR_606,Innocent's Food,,"Grand Rapids herald May 15, 1892;",,,,,2.0,
364,364,364,UR_607,Have Eyes Out See Not,,"Juniata Sentinel and Repbulican May 18, 1892;",,,,,2.0,
365,365,365,UR_608,Enchantress of the Bench,,"Juniata Sentinel and Repbulican May 18, 1892;",,,,,2.0,
366,366,366,UR_609,Irishman's Standby,,"Fergus County argus May 18, 1904;",,,,,2.0,
367,367,367,UR_610,Chips,,"Fergus County argus May 18, 1904;",,,,,2.0,
368,368,368,UR_611,A Dainty Mosel,,"Fergus County argus May 18, 1904;",,,,,2.0,
369,369,369,UR_612,What the Patient Has and the Doctor Gets,,"Fergus County argus May 18, 1904; Belmont Chronicle December 10, 1891;",,,,,3.0,
370,370,370,UR_613,Will W Up,,"Fergus County argus May 18, 1904;",,,,,2.0,
371,371,371,UR_614,Hot Stuff / Hot Indigestibles,,"Fergus County argus May 18, 1904; The Portland daily press November 22, 1895;",,,,,3.0,
372,372,372,UR_615,Relics of Greece,,"Fergus County argus May 18, 1904;",,,,,2.0,
373,373,373,UR_616,Transparent Sweetness,,"Fergus County argus May 18, 1904;",,,,,2.0,
374,374,374,UR_617,Cold Carved Creature,,"The Portland daily press November 22, 1895; Norwood News January 27, 1903; The Gilboa Monitor October 07, 1897;",,,,,4.0,
375,375,375,UR_618,Cold Cured Squeal,Ice Cream?,"The Portland daily press November 22, 1895;",,,,,2.0,
376,376,376,UR_619,Meat for Repentance,,"The Portland daily press November 22, 1895;",,,,,2.0,
377,377,377,UR_620,Churned / Coagulated Cream / Curd,,"The Portland daily press November 22, 1895; Perrysburg Journal November 21, 1891; St. Johnsbury Caledonian February 21, 1896; Oxford Democrat January 05, 1909; The Gilboa Monitor October 07, 1897;",,,,,6.0,
378,378,378,UR_621,Agricultural Facts,,"The Portland daily press November 22, 1895;",,,,,2.0,
379,379,379,UR_622,Aciduous Greeness??,Pickle?,"The Portland daily press November 22, 1895;",,,,,2.0,
380,380,380,UR_623,A Grain of Truth,,"The Portland daily press November 22, 1895;",,,,,2.0,
381,381,381,UR_624,Children Cry for It / What We've All Cried For,Milk / Cake,"The Portland daily press November 22, 1895; Morning journal and courier February 24, 1893; Bassano News June 24, 1910; ",,,,,3.0,
382,382,382,UR_625,Native Pudding,,"The Portland daily press November 22, 1895;",,,,,2.0,
383,383,383,UR_626,Dentestics a'l'Americaine,,"The Portland daily press November 22, 1895;",,,,,2.0,
384,384,384,UR_627,Cold Clapper,,"Perrysburg Journal November 21, 1891;",,,,,2.0,
385,385,385,UR_628,Compressed Chopped Creature,,"Perrysburg Journal November 21, 1891;",,,,,2.0,
386,386,386,UR_629,Condiments,,"Perrysburg Journal November 21, 1891; The Gilboa Monitor October 07, 1897;",,,,,3.0,
387,387,387,UR_630,Caccharine Srystals (Saccharine Crystals?),,"Perrysburg Journal November 21, 1891;",,,,,2.0,
388,388,388,UR_631,Castigated Cream,Whipped Cream?,"Perrysburg Journal November 21, 1891;",,,,,2.0,
389,389,389,UR_632,Crackled China,,"Perrysburg Journal November 21, 1891;",,,,,2.0,
390,390,390,UR_633,Cyathiform Chinaware,,"Perrysburg Journal November 21, 1891;",,,,,2.0,
391,391,391,UR_634,Cpoons,,"Perrysburg Journal November 21, 1891;",,,,,2.0,
392,392,392,UR_635,Culinarily Concocted Confections Cut in Cuneform Cegments,?? Check if riddle,"Perrysburg Journal November 21, 1891;",,,,,2.0,
393,393,393,UR_636,Currency Contribution,?? Check if riddle,"Perrysburg Journal November 21, 1891;",,,,,2.0,
394,394,394,UR_637,Continued Cachimation,?? Check if riddle,"Perrysburg Journal November 21, 1891;",,,,,2.0,
395,395,395,UR_638,(Current Extracts from) The Press,Currants?,"Evening Capital Journal March 26, 1892; Mrs. Grundy February 12, 1914; On the St. Lawrence and Clayton Independent September 20, 1895;",,,,,4.0,
396,396,396,UR_639,McKinley's Bill,,"Evening Capital Journal March 26, 1892;",,,,,2.0,
397,397,397,UR_640,What Most People Need,Bread / Backbone,"Virginian-Pilot October 25, 1899; Belmont Chronicle December 10, 1891; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892; The Paducah daily sun February 12, 1898; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; Burlington Weekly Free Press January 26, 1893;",,,,,9.0,
398,398,398,UR_641,An Ancient Sacrifice,Lamb,"Virginian-Pilot October 25, 1899; The Jersey City news April 05, 1893; The Columbian April 26, 1892;",,,,,4.0,
399,399,399,UR_642,Producing Good and Evil,,"Virginian-Pilot October 25, 1899;",,,,,2.0,
400,400,400,UR_643,An Impish Sailor,,"Virginian-Pilot October 25, 1899;",,,,,2.0,
401,401,401,UR_644,A Distressed Country,,"Virginian-Pilot October 25, 1899;",,,,,2.0,
402,402,402,UR_645,Destroyer of our Race,,"Belmont Chronicle December 10, 1891;",,,,,2.0,UR_209
403,403,403,UR_646,Labor's Stronghold / Laborer's Strength?? / Reward,Cheese,"Virginian-Pilot October 25, 1899; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; Burlington Weekly Free Press January 26, 1893; The Daily Telegram, Nanaimo December 12, 1893; The Kingsville Reporter January 8, 1931; ",,,,,6.0,
404,404,404,UR_647,Cultivated Taste,,"Virginian-Pilot October 25, 1899;",,,,,2.0,
405,405,405,UR_648,A Fashionable Mince,,"Virginian-Pilot October 25, 1899;",,,,,2.0,
406,406,406,UR_649,A Weighty Matter,,"Virginian-Pilot October 25, 1899;",,,,,2.0,
407,407,407,UR_650,Coagulated Superfluity,,"Virginian-Pilot October 25, 1899; The Ravalli Republican February 24, 1897;",,,,,3.0,
408,408,408,UR_651,What I do when I Mash my Finger,,"Virginian-Pilot October 25, 1899;",,,,,2.0,
409,409,409,UR_652,Frost in Florida,,"Virginian-Pilot October 25, 1899;",,,,,2.0,
410,410,410,UR_653,Meadow Dew,,"Virginian-Pilot October 25, 1899; The Herald-Advance May 06, 1892;",,,,,3.0,
411,411,411,UR_654,Golden Grass,,"Virginian-Pilot October 25, 1899;",,,,,2.0,
412,412,412,UR_655,Essence of Dried Grass,,"The Herald-Advance May 06, 1892;",,,,,2.0,
413,413,413,UR_656,What the United States has Been Taking a Good Deal of,,"The Herald-Advance May 06, 1892;",,,,,2.0,
414,414,414,UR_657,Heavenly Manna / Food,Bread?,"The Herald-Advance May 06, 1892; The Dickinson press February 13, 1892; The Bemidji pioneer April 16, 1903; St. Paul daily globe January 04, 1892;",,,,,5.0,
415,415,415,UR_658,Soldier's Joy / Dessert,Tent? (Drink),"The Herald-Advance May 06, 1892; The Newtown bee August 31, 1894; St. Johnsbury Caledonian February 21, 1896; The Dickinson press February 13, 1892;",,,,,5.0,UR_48
416,416,416,UR_659,Man's Delight / Favourite,,"The Herald-Advance May 06, 1892; Norwich bulletin October 20, 1910; Olds Gazette January 26, 1923; ",,,,,3.0,
417,417,417,UR_660,Chinese Cheer,,"The Herald-Advance May 06, 1892;",,Dessert,,,2.0,
418,418,418,UR_661,Domestic Animals Aloft ,Ketchup (Formerly spelled Cats - up),"The Herald-Advance May 06, 1892; Las Vegas free press April 09, 1892;", (Possibly the same as Elevated Feline),,,,3.0,
419,419,419,UR_662,Porous Marine Substance / Absorbent Marine Dainty,Sponge Cake,"The Herald-Advance May 06, 1892; The Ravalli Republican February 24, 1897; The Dickinson press February 13, 1892; The State Rights Democrat April 03, 1891; St. Paul daily globe January 04, 1892; The Columbian April 26, 1892; The Prince Rupert Optimist June 07, 1910; The Plattsburgh Sentinel April 15, 1910; Wyoming County Times Warsaw March 17, 1892; The Elizabethtown Post November 23, 1893;",,,,,11.0,
420,420,420,UR_663,Something Appropriate for Single Men,,"The Herald-Advance May 06, 1892; The Dickinson press February 13, 1892;",,,,,3.0,
421,421,421,UR_664,Condition Lovers are in when they Quarrel,,"The Herald-Advance May 06, 1892; The Dickinson press February 13, 1892;",,,,,3.0,
422,422,422,UR_665,Four-Footed Temptation,,"Norwich bulletin October 20, 1910;",,,,,2.0,
423,423,423,UR_666,Celestial Pabulum,,"Norwich bulletin October 20, 1910;",,,,,2.0,
424,424,424,UR_667,Memories of the Old Home,,"Norwich bulletin October 20, 1910;",,,,,2.0,
425,425,425,UR_668,Boston's Aristocracy,,"Norwich bulletin October 20, 1910;",,,,,2.0,
426,426,426,UR_669,Toothsome Parallels,,"Norwich bulletin October 20, 1910;",,,,,2.0,
427,427,427,UR_670,Language??,,"Norwich bulletin October 20, 1910;",,,,,2.0,
428,428,428,UR_671,Double Points??,,"Norwich bulletin October 20, 1910;",,,,,2.0,
429,429,429,UR_672,Troubles,,"Evening journal June 05, 1913;",,,,,2.0,
430,430,430,UR_673,Variety Dressed in Green,,"Evening journal June 05, 1913;",,,,,2.0,
431,431,431,UR_674,Spring's Luxuries,,"Evening journal June 05, 1913;",,,,,2.0,
432,432,432,UR_675,Yellow Jackets,,"Evening journal June 05, 1913;",,,,,2.0,
433,433,433,UR_676,A Power for Good When Used Properly,,"Evening journal June 05, 1913;",,,,,2.0,
434,434,434,UR_677,What Young Men Give Their Sweethearts,,"Evening journal June 05, 1913;",,,,,2.0,
435,435,435,UR_678,Fife and Drum Corps,,"Evening journal June 05, 1913;",,,,,2.0,
436,436,436,UR_679,What Every Fellow Buys When He's Hungry,,"Evening journal June 05, 1913;",,,,,2.0,
437,437,437,UR_680,Grandma's Comfort,,"Evening journal June 05, 1913;",(Possibly the same as Old Maid's Comfort),,,,2.0,
438,438,438,UR_681,What a Man Calls His Wife Before and After Marriage,,"Evening journal June 05, 1913;",,,,,2.0,
439,439,439,UR_682,What a Rich Relative Gives a Poorer One,,"Evening journal June 05, 1913;",,,,,2.0,
440,440,440,UR_683,Vanity,Cake,"The Windham County Reformer December 06, 1895;",,,,,2.0,
441,441,441,UR_684,World's Destruction,Pie,"The Windham County Reformer December 06, 1895;",,,,,2.0,
442,442,442,UR_685,Preparation of Uncooked Herb,,"The Ravalli Republican February 24, 1897;",,,,,2.0,
443,443,443,UR_686,What Defeated Candidates were Left in,,"The Ravalli Republican February 24, 1897;",,,,,2.0,
444,444,444,UR_687,November Victims,Turkey,"Morning journal and courier February 24, 1893;",,,,,2.0,
445,445,445,UR_688,Adam's Ale,Water,"Morning journal and courier February 24, 1893; The County Review Riverhead May 18, 1923;",,,,,3.0,UR_39
446,446,446,UR_689,"The Housewife Pride, Assorted / A Woman's Pride, a Man's Delight, he quickly puts it out of Sight",Cake,"Morning journal and courier February 24, 1893; Deming graphic February 18, 1910;",,,,,3.0,
447,447,447,UR_690,A Bird's Necessity,Bill,"Morning journal and courier February 24, 1893;",,,,,2.0,
448,448,448,UR_691,Eve's Origin,Spare-Rib?,"Belmont Chronicle December 10, 1891;",,,,,2.0,
449,449,449,UR_692,Cursed Son,Ham?,"Belmont Chronicle December 10, 1891; The Newtown bee August 31, 1894;",,,,,3.0,UR_207
450,450,450,UR_693,A Country in Europe,Turkey?,"Belmont Chronicle December 10, 1891;",,,,,2.0,
451,451,451,UR_694,"A River, a Term in a Game, and Exclamation",,"Belmont Chronicle December 10, 1891;",,,,,2.0,
452,452,452,UR_695,Wit / Sharpeners of Wit,,"Belmont Chronicle December 10, 1891; The Newtown bee August 31, 1894;",,,,,3.0,
453,453,453,UR_696,A Letter and to Speak it,,"Belmont Chronicle December 10, 1891;",,,,,2.0,
454,454,454,UR_697,What Brings the Crows,Eggs,"Belmont Chronicle December 10, 1891; The Corvallis Gazette February 03, 1893; The Daily News Batavia November 11, 1892;",,,,,4.0,
455,455,455,UR_698,Pressed Fluid,,"Belmont Chronicle December 10, 1891;",,,,,2.0,
456,456,456,UR_699,Most Delightful Age of Childhood,Cabbage,"Belmont Chronicle December 10, 1891; The Corvallis Gazette February 03, 1893; The Paducah daily sun February 12, 1898; The Bellefontaine Republican January 07, 1902; The Medina Tribune November 08, 1894; The Daily News Batavia November 11, 1892; Facts and Fallacies March 23, 1916;",,,,,8.0,
457,457,457,UR_700,Kid's Food,,"The Madisonian February 22, 1896;",,,,,2.0,
458,458,458,UR_701,Mochajvoire / Mocha Jarvaris??,,"The Madisonian February 22, 1896; Mrs. Grundy February 12, 1914;",,,,,3.0,
