,Unnamed: 0,Archive,Attendance,Contains_BOF,Newspaper Issue Date,Event_Date,Event_Location,Location,Newspaper,Notes,Organization_Hosting,Persons,Price_Event,Revenue,Unique_Reference_Number,MENU,Coordinates,Unnamed: 0.1,Date2,Library,Citation,File_Name
670,670.0,LOC Conundrum Supper,,,"August 21, 1901",,Church,"Virogua, Wisconsin",Vernon County Censor,,Bethel (Shockey) Sunday school,,,,,,,,,,,"Vernon County Censor August 21, 1901"
671,671.0,LOC Conundrum Supper,,,"February 26, 1904",,Residence of A.N. Harris,"Nemaha City, Nebraska",The Nebraska advertiser,,Young People’s Social chapter of St. James’ church,,,,,,"[-95.8518344, 40.3837713]",,,,,"The Nebraska advertiser February 26, 1904"
672,672.0,LOC Conundrum Supper,,,"February 21, 1898",,St. James’ Church,"Fair Haven, Connecticut",The daily morning journal and courier,Contains eBOF,The Rector’s Aid society of St. Andrew’s church,,,,,Meats: 1. How instinct varies in the grovling swine $0.05 2. shrine of the mighty can it be. That this is all remains of thee .05. 3. I'm not now that which I have been .05. 4. Joys seasoned high .05. 5. I was born for other things .05. 6. they have been at a great feast and stolen the scraps .05. 7. Shold ? acquaintance be forgot .05. 8. Some smack of age in you; some relish of the saltness of time .05. 9. Compounded of many simpler as you like it .05. 10. There is no living with thee or without thee .05. Desserts: 11. Infinite riches in a little room .05. 12. Old friends are beat .05. 13. Joys too exquisite to last .05. Cake - Two pieces for 5c. 14. Sabean odors from the spicy shore of Araby the blest. 15. My cake is dough. 16. A little nonsense now and then is relished by the best of men. 17. trifles light as air. 18. Odours crushed are sweet still. 19. The new is older than the old. 20. Ice cream .10.,"[-72.8956569, 41.3112082]",,,,,"The daily morning journal and courier February 21, 1898"
673,673.0,LOC Conundrum Supper,,,"February 21, 1896",,Grand Army Hall,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,Also mentioned February 14; Menu included.,Ladies of the M.E. church,,,,,The souvenir menu was as follows: Spring Offerings. An Unruly Member. The Poor Man's Staff. Food for the Spinning Wheel. I come from Under the Rhine. Soldiers' Joy. Changeable Politicians. I'm Sour but You'll Like Me. What the Street Cars do on a Switch. Great American Desert. Something to Take. Boston Overthrow. I Settled Just ? Ground. I Feel It From My Heart. Musical Cake. Out of Order. Coagulated Cream. Half Peas. My Mother Makes Me Sharp. A St. Johnsbury Editor.,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian February 21, 1896"
674,674.0,LOC Conundrum Supper,,,"December 16, 1892",,Town hall,"Darlington, Maryland",The aegis & intelligencer,Contains eBOF; same event is referenced in the issue from December 02,Ladies’ Aid,,,,,"The bill of fare was as follows: Causes Neighborly Contention, New England Brains, What a Boy Calls His Sweetheart, Pearls of the Sea, What Occasioned the Fall of Man, An Unruly Member, What Asthmatic Persons Are, From the Briny Deep, Women of Grit, An Inhabitant of the Ark, An Oriental Country, The Joy of an American Boy on the Fourth of July, Hidden Tears, The Spring's Offering, Boston's Overthrow.","[-76.2027321, 39.6392741]",,,,,"The aegis & intelligencer December 16, 1892"
675,675.0,LOC Conundrum Supper,,,"February 16, 1906",,Miss Drew’s S.S. class,"Barton, Vermont",Orleans County Monitor,,,,,,,,"[-72.174317559118, 44.74844]",,,,,"Orleans County Monitor February 16, 1906"
676,676.0,LOC Conundrum Supper,,,"February 16, 1894",,"Parish House, South Britain","South Britain, Connecticut",The Newtown bee,Same event is referenced in the March 02 issue,Young ladies,,,,,,"[-73.2515041, 41.470929]",,,,,"The Newtown bee February 16, 1894"
677,677.0,LOC Conundrum Supper,,,"February 15, 1908",,"Residence of Mr. and Mrs. Charles Carroll, 511 West Church street","Marshalltown, Iowa",Evening times-Republican,,Epworth League,,,,,,"[-92.9123388, 42.0442545]",,,,,"Evening times-Republican February 15, 1908"
678,678.0,LOC Conundrum Supper,,,"February 02, 1910",,Church dining room,"Barton, Vermont",Orleans County Monitor,,The Daughters of the King of the Episcopal Church,,,,,,"[-72.174317559118, 44.74844]",,,,,"Orleans County Monitor February 02, 1910"
679,679.0,LOC Conundrum Supper,,,"February 03, 1893",,Home of Judge Hufford,"Corvallis, Oregon",The Corvallis Gazette,Menu included. PDF damaged. Screenshot included. Also mentioned February 10.,,,,,,The following bill of fare will be served: What most people need; unruly member; causes neighborhood contention; New England beans; food for the spinning wheel; what a boy calls his sweet-heart; brings the crows; most deligthful age of childhood; women of grit; what occasioned the fall of mankind; hidden tears; tree cake; eliptical cakes; changeable politicians; what asmetic people are; spring's offering; Boston's overthrow.,"[-123.2620435, 44.5645659]",,,,,"The Corvallis Gazette February 03, 1893"
680,680.0,LOC Conundrum Supper,,,"February 15, 1894",,Schoool house hall,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,Young People,,,,,,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian February 15, 1894"
681,681.0,LOC Conundrum Supper,,,"February 03, 1909",,Home of LJ Hovey,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,Ladies of the First Christian church,,,,,,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian February 03, 1909"
682,682.0,LOC Conundrum Supper,,,"February 15, 1891",,Corner of Twentieth and Capitol avenue,"Omaha, Nebraska",Omaha daily bee,,The Ladies Aid Society of the Mulkey Memorial Church,,,,,,"[-95.9383758, 41.2587459]",,,,,"Omaha daily bee February 15, 1891"
683,683.0,LOC Conundrum Supper,,,"February 05, 1892",,Mulkey Memorial Church,"Fort Worth, Texas",Fort Worth Gazette,Menu included. Also mentioned February 02.,,,,,,1. What asthmatic people are. 2. Intoxicated bovine. 3. What most people need. 4. Food of the spinning-wheel. 5. A celebrated author. 6. Women of grit. 7. Boston's overthrow. 8. Causes neighborhood contentions. 9. What shall we do with Mrs. Langtry? 10. Spring's offering. 11. What a boy calls his sweetheart. 12. Unruly member. 13. Tabby's party. 14. What mankind has been doing since Eve ate the apple. 15. Impertinence. 16. Tree cake. 17. The son of Noah.,"[-97.3327459, 32.753177]",,,,,"Fort Worth Gazette February 05, 1892"
684,684.0,LOC Conundrum Supper,,,"February 14, 1902",,Home of Mr and Mrs A.W. Foote,"Middlebury, Vermont",Middlebury Register,,Methodist Church,,,,,,"[-73.1633010541542, 44.0072736]",,,,,"Middlebury Register February 14, 1902"
685,685.0,LOC Conundrum Supper,,,"February 05, 1908",,Methodist Church,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,Also mentioned February 12.,Burlington Council,,,,,,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian February 05, 1908"
686,686.0,LOC Conundrum Supper,,,"February 13, 1918",,,"Brattleboro, Vermont",The Brattleboro Daily Reformer,,,,,,,,"[-72.5578678, 42.8509152]",,,,,"The Brattleboro Daily Reformer February 13, 1918"
687,687.0,LOC Conundrum Supper,,,"February 06, 1896",,G. A.R. hall,"Pittsfield, Maine",The Republican journal,,Ladies Aid society of the M.E. church,,,,,,"[-69.383469, 44.78281]",,,,,"The Republican journal February 06, 1896"
688,688.0,LOC Conundrum Supper,,,"February 13, 1900",,Residence of David Metzler,"Packwood, Iowa",Ottumwa semi-weekly courier,,Ladies’ Aid society of the Congregational church,,,,,,"[-92.0827361, 41.1328058]",,,,,"Ottumwa semi-weekly courier February 13, 1900"
689,689.0,LOC Conundrum Supper,,,"February 06, 1902",,Congregational church,"Staffordville, Connecticut",The Press,Same event is referenced in the issue from February 13,Trustees of Mt. Zion A. M.E. church,,,,,,"[-72.25869, 41.9939848]",,,,,"The Press February 06, 1902"
690,690.0,LOC Conundrum Supper,,,"June 05, 1905",,Odd Fellows’ Hall,"Ocala, Flordia",The Ocala evening star,Same event is referenced in the issues from May 26 and May 30,Ladies of the Episcopal church,,,,,,,,,,,"The Ocala evening star June 05, 1905"
691,691.0,LOC Conundrum Supper,,,"February 13, 1892",,"Lawrence building, on Villard street","Dickinson, North Dakota",The Dickinson press,Contains eBOF,Ladies of the Grand avenue Baptist church,,,,,"What no meal is complete without. Preserved in the Ark. Perpetual motion. Wood from a noted watering place. Amaze cake. Fruit of the spinning wheel. What the winner always does. An ancient fluid. Women of grit. New England brains. elevated felines. Porous marine substance. Something appropriate for single men. Heavenly food. Condensed bovine extract. Billy goat. Ruin of the world. Two for a cent. Something prevalent in Africa. Crystalized corn juice. Elevating food. The soldier's joy. Boston's overthrow. Spring's offering. Condition lovers are in when they quarrel. Ivory manipulators. Supper, 25 cents each.","[-102.7896242, 46.8791756]",,,,,"The Dickinson press February 13, 1892"
692,692.0,LOC Conundrum Supper,,,"February 10, 1893",,Church parlors,"Fair Haven, Connecticut",Morning journal and courier,Same event is referenced in the Feb. 17th issue,Ladies’ Aid of the Baptist Society,,,,,,"[-72.8956569, 41.3112082]",,,,,"Morning journal and courier February 10, 1893"
693,693.0,LOC Conundrum Supper,,,"February 09, 1910",,,"Barre, Vermont",The Barre Daily Times,,,,,,,,"[-72.502213, 44.197467]",,,,,"The Barre Daily Times February 09, 1910"
694,694.0,LOC Conundrum Supper,,,"February 11, 1904",,Presbyterian church,"Fargo, North Dakota",The Fargo forum and daily republican,"Same event is referenced in the issues from February 17, February 20, February 13, and February 15",Ladies of the Baptist Church,,,,,,"[-96.789821, 46.877229]",,,,,"The Fargo forum and daily republican February 11, 1904"
695,695.0,LOC Conundrum Supper,,,"February 09, 1910",,,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,Birthday party for D.H. Jones and Lydia Schnasse,,,,,,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian February 09, 1910"
696,696.0,LOC Conundrum Supper,,,"February 09, 1907",,Residence of J.W. Jones,"Walla Walla, Washington",The Evening Stateman,,The Young Peoples’ Literary Circle,,,,,,"[-118.3302476, 46.0650381]",,,,,"The Evening Stateman February 09, 1907"
697,697.0,LOC Conundrum Supper,,,"February 09, 1903",,G.A.R. Hall,"Barton, Vermont",Orleans County Monitor,,,,,,,,"[-72.174317559118, 44.74844]",,,,,"Orleans County Monitor February 09, 1903"
698,698.0,LOC Conundrum Supper,,,"February 02, 1909",,First Methodist Church,"Newport, Virginia",Daily Press,,Epworth League of the M.E. Church,,,,,,"[-78.5964028, 38.5787326]",,,,,"Daily Press February 02, 1909"
699,699.0,LOC Conundrum Supper,,,"February 11, 1910",,Forester’s hall,"Friday Harbor, Washington",The San Juan Islander,Also mentioned February 04.,Ladies’ Aid Society,,,,,,"[-123.0171242, 48.5342662]",,,,,"The San Juan Islander February 11, 1910"
700,700.0,LOC Conundrum Supper,,,"February 12, 1898",,Third Street M.E. church (corner Third and Norton),"Paducah, Kentucky",The Paducah daily sun,Contains eBOF,Library Association,,,,,Widow's tears and old maid smiles. What most people need. Adam's first sacrifice. Causes neighborhood contention. New England brains. Love's young dream. Food for the spinning wheel. Most delightful age of childhood. Changeable politicians. Boston's overthrow. What occasioned the fall of man. Chicago chestnuts. Spring's offering. What a boy calls his sweetheart. An animal's taste. Country fuel. Going to be licked. What asthmatic people are. Unruly member. Study of a head.,"[-88.6000478, 37.0833893]",,,,,"The Paducah daily sun February 12, 1898"
701,701.0,LOC Conundrum Supper,,,"February 09, 1893",,Town Hall,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,Ladies’ Aid society,,,,,,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian February 09, 1893"
702,702.0,LOC Conundrum Supper,,,"February 08, 1907",,,"Sparta, Ohio",The Stark County Democrat,,LAdies’ Aid society of the Methodist church,,,,,,"[-82.7004504, 40.3947836]",,,,,"The Stark County Democrat February 08, 1907"
703,703.0,LOC Conundrum Supper,,,"February 07, 1906",,Methodist parsonage,"Honolulu, Hawaii",The Pacific commercial advertiser,,Young gentlemen of the Congregational church,,,,,,"[-157.8556764, 21.304547]",,,,,"The Pacific commercial advertiser February 07, 1906"
704,704.0,LOC Conundrum Supper,,,"February 07, 1899",,Pythian hall,"Hiram, Maine",Oxford Democrat,,Ladies of Episcopal Church,,,,,,"[-70.803452, 43.879088]",,,,,"Oxford Democrat February 07, 1899"
705,705.0,LOC Conundrum Supper,,,"February 12, 1914",,Dixie Theater,"Tracy City, Tennessee",Mrs. Grundy,Menu included.,Ladies’ Aid society of Camp Hill Methodist Episcopal Church,,,,,"The following is the menu for supper. 1. Over Fed Embryonic Chicken 05. 2. A Woman of Grit 10. 3. Better in You, Than You in It 01. 4. Georgia Country Man 02. 5. Current Extracts from the Press 02. 6. Mocha Jarvaris 05. 7. Taken by Our Best Girl 05. 8. Common Color in Dixie. 9. Personal Pronoun in Agony. 10. Chip of the Old Block Free. 11. Spring's Offering Free.","[-85.7360833, 35.2603569]",,,,,"Mrs. Grundy February 12, 1914"
706,706.0,LOC Conundrum Supper,,,"February 11, 1915",,Home of Mrs. Robert Hawbecker,"Harrisburg, Pennsylvania",Harrisburg Telegraph,Mentioned February 06.,Christian Endeavor Society,,,,,,"[-76.8861122, 40.2663107]",,,,,"Harrisburg Telegraph February 11, 1915"
707,707.0,LOC Conundrum Supper,,,"August 06, 1891",,,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,King’s Daughters,,,,,,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian August 06, 1891"
708,708.0,LOC Conundrum Supper,,,"February 02, 1897",,Hall,"Andover, Maine",Oxford Democrat,,Ladies of St Paul’s Guild,,,,,,"[-70.751266, 44.635925]",,,,,"Oxford Democrat February 02, 1897"
709,709.0,LOC Conundrum Supper,,,"February 02, 1894",,The rectory,"Brookfield, Connecticut",The Newtown bee,Same event is referenced in the January 19 issue.,,,,,,,"[-73.4095652, 41.4825947]",,,,,"The Newtown bee February 02, 1894"
710,710.0,LOC Conundrum Supper,,,"December 16, 1896",,Residence of Mrs. T. Varco,"Lansing, Minnesota",Mower County transcript,,W.C.T.U. of Los Angeles,,,,,,"[-92.9701918, 43.7452402]",,,,,"Mower County transcript December 16, 1896"
711,711.0,LOC Conundrum Supper,,,"December 17, 1896",,"Residence of Mr. Hoch, No. 1961 Lovelace avenue","Los Angeles, California",The herald,,Howard Academy’s Primary Department,,,,,,"[-118.2427666, 34.0536909]",,,,,"The herald December 17, 1896"
712,712.0,LOC Conundrum Supper,,,"December 19, 1900",,Mitchell Hall,"Ocala, Florida",The Ocala evening star,,Ladies of the Relief Corps,,,,,,"[-82.1400923, 29.1871986]",,,,,"The Ocala evening star December 19, 1900"
713,713.0,LOC Conundrum Supper,,,"December 19, 1911",,,"Oxford, Maine",Oxford Democrat,,"Minnehaha Lodge No. 57, the ladies’ auxillary to the B. of L.F.",,,,,,"[-70.7782375, 44.4694529]",,,,,"Oxford Democrat December 19, 1911"
714,714.0,LOC Conundrum Supper,,,"February 20, 1899",,"Rooms of the retail clerks on tration lodge, B. of L.F.","St. Paul, Minnesota",The Saint Paul globe,Same event is referenced (I believe) in the issue from February 14,Epworth League,,,,,,"[-93.1015026, 44.9504037]",,,,,"The Saint Paul globe February 20, 1899"
715,715.0,LOC Conundrum Supper,,,"February 20, 1899",,M.E. Church,"Barton, Vermont",Orleans County Monitor,,The Ladies’ Aid Society,,,,,,"[-72.174317559118, 44.74844]",,,,,"Orleans County Monitor February 20, 1899"
716,716.0,LOC Conundrum Supper,,,"December 20, 1891",,,"Wheeling, West Virginia",Wheeling Sunday Register,,,,,,,,"[-80.7209149, 40.0639616]",,,,,"Wheeling Sunday Register December 20, 1891"
717,717.0,LOC Conundrum Supper,,,"December 21, 1894",,"Residence of Joshua G. Lucky, Esq.","Shawsville, Maryland",The aegis & intelligencer,,,,,,,,"[-76.5549672, 39.6378827]",,,,,"The aegis & intelligencer December 21, 1894"
718,718.0,LOC Conundrum Supper,,,"December 21, 1895",,St. Landry High School,"Opelousas, Louisiana",The Opelousas,,The Ladies’ Aid Society,,,,,,"[-92.081509, 30.5335302]",,,,,"The Opelousas December 21, 1895"
719,719.0,LOC Conundrum Supper,,,"December 22, 1893",,,"Brattleboro, Vermont",Vermont Phoenix,,The Universalists,,,,,,"[-72.5578678, 42.8509152]",,,,,"Vermont Phoenix December 22, 1893"
720,720.0,LOC Conundrum Supper,,,"February 19, 1903",,,"West Randolph, Vermont",Herald and News,,Cobweb Club,,,,,,"[-72.666321, 43.925099]",,,,,"Herald and News February 19, 1903"
721,721.0,LOC Conundrum Supper,,,"December 22, 1893",,,"Guildhall, Vermont",Essex County Herald,,Young people,,,,,,"[-71.5610294, 44.5651812]",,,,,"Essex County Herald December 22, 1893"
722,722.0,LOC Conundrum Supper,,,"December 23, 1892",,,"South Londonderry, Vermont",The Londonderry Sifter,,Ladies of the Congregational Church,,,,,,"[-72.8142644, 43.1928538]",,,,,"The Londonderry Sifter December 23, 1892"
723,723.0,LOC Conundrum Supper,,,"December 24, 1891",,Congregational church,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,Morgan School,,,,,,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian December 24, 1891"
724,724.0,LOC Conundrum Supper,,,"December 26, 1912",,Morgan Schoolhouse,"Burlington, Vermont",Burlington Weekly Free Press,,,,,,,,"[-73.2135472, 44.4762975]",,,,,"Burlington Weekly Free Press December 26, 1912"
725,725.0,LOC Conundrum Supper,,,"February 19, 1894",,Broadway church,"Rock Island, Illinois",Rock Island Argus,,The Opportunity Circle,,,,,,"[-90.5787477, 41.5094771]",,,,,"Rock Island Argus February 19, 1894"
726,726.0,LOC Conundrum Supper,,,"December 31, 1913",,Methodist church,"Barton, Vermont",Orleans County Monitor,,,,,,,,"[-72.174317559118, 44.74844]",,,,,"Orleans County Monitor December 31, 1913"
727,727.0,LOC Conundrum Supper,,,"February 17, 1892",,The Elite Restaurant,"Prescott, Arizona",Arizona weekly journal-miner,"Contains eBOF; event is also referenced in Feb 24 issue,",Young People’s Christian Endeavor society,,,,,The Cup that Cheers. Women of Grit. Boston Overthrow. Old Humpty Dumpty. Impertinence. Spring Offering. Food of the Spinning Wheel. New England Brains. A Palastable Mixture. Appetizers: What every one Needs. Unruly Members. Labors Stronghold.  Fruit of the Vine. Tabby's Party. What a boy calls his Sweetheart. What mankind has been doing ever since Eve are the Apple. Chips. Dessert: Tramp Cake. Cake Hard to Beat. The Same to all Men.,"[-112.4687616, 34.5399962]",,,,,"Arizona weekly journal-miner February 17, 1892"
728,728.0,LOC Conundrum Supper,,,"February 17, 1893",,,"South Pasadena, California",The herald,Contains eBOF; proximity to but not identical event to another CS in an issue on February 25th,Young Ladies of the Mission circle,,,,,"New England Brains, women of Grit, Gems of the Emerald Isle, Changeable Politician, What Asthmatic People Are, Impertinence, Tabby's Party, Acidulous Bovine or Porcine?, What Most People Need, Boston's Overthrow, Unruly Member, A Young Man's Sweetheart, Pride of the Oven, doubled, Spring's Offering, Fruit of the Vine, Labor's Stronghold, Perpetual Motion, boiled, The Great American Desert, Early Riser, King of the State.","[-118.1478291, 34.1133062]",,,,,"The herald February 17, 1893"
729,729.0,LOC Conundrum Supper,,,"February 17, 1899",,Church parlors,"Kent, Connecticut",The Newtown bee,Same event is referenced in the issue from February 24,Ladies’ Home Circle,,,,,,"[-73.4770859, 41.724646]",,,,,"The Newtown bee February 17, 1899"
730,730.0,LOC Conundrum Supper,,,"February 17, 1909",,Congregational church dining room,"Barton, Vermont",Orleans County Monitor,,Y.P.S.C.E.,,,,,,"[-72.174317559118, 44.74844]",,,,,"Orleans County Monitor February 17, 1909"
731,731.0,LOC Conundrum Supper,,,"February 18, 1892",,,"Bellows Falls, Vermont",Bellows Falls Times,,Mizpah circle of the King’s Daughters of the Congregational church,,,,,,"[-72.444534, 43.134063]",,,,,"Bellows Falls Times February 18, 1892"
732,732.0,LOC Conundrum Supper,,,"February 01, 1897",,Linsley’s hall,"North Haven, Connecticut",The daily morning journal and courier,Same event is referenced in the issue from January 28,Ladies of the M.E. Church,,,,,,"[-72.859545, 41.3909305]",,,,,"The daily morning journal and courier February 01, 1897"
733,733.0,LOC Conundrum Supper,,,"February 02, 1894",,M.E. Church,"Guildhall, Vermont",Essex County Herald,,The Epworth League,,,,,,"[-71.5610294, 44.5651812]",,,,,"Essex County Herald February 02, 1894"
734,734.0,LOC Conundrum Supper,,,"February 18, 1892",,Grange Hall,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,Also mentioned February 25.,Methodist Episcopal Church,,,,,,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian February 18, 1892"
735,735.0,LOC Conundrum Supper,,,"February 18, 1895",,Methodist Episcopal Church,"Scranton, Pennsylvania",The Scranton Tribune,,Ladies’ Aid Society,,,,,,"[-75.6621294, 41.4086874]",,,,,"The Scranton Tribune February 18, 1895"
736,736.0,LOC Conundrum Supper,,,"February 18, 1897",,,"West Randolph, Vermont",Herald and News,Also mentioned February 11.,Ladies of the Episcopal Church,,,,,,"[-72.666321, 43.925099]",,,,,"Herald and News February 18, 1897"
737,737.0,LOC Conundrum Supper,,,"February 18, 1906",,AOUW Hall,"Salt Lake City, Utah",The Salt Lake Herald,,Home Circle,,,,,,"[-111.8904308, 40.7670126]",,,,,"The Salt Lake Herald February 18, 1906"
738,738.0,LOC Conundrum Supper,,,"February 18, 1909",,Dining rooms of the Congregational Church,"Burlington, Vermont",Burlington Weekly Free Press,,Young people,,,,,,"[-73.2135472, 44.4762975]",,,,,"Burlington Weekly Free Press February 18, 1909"
739,739.0,LOC Conundrum Supper,,,"February 18, 1910",,Basement of the new Christian church,"Deming, New Mexico",Deming graphic,Contains eBOF; same event is referenced in the issue from February 11,Mr. and Mrs. Harry Burns,,,,,"""A woman's pride, a man's delight, he quickly puts it out of sight,"" cake. ""In every land of cross are cresents, a general favorite is this essence,"" Cocoa. ""In many places may be seen the very handy go between,"" sandwich. ""Most delicious is this combination, assured it is without adulteration,"" salad. ""Young lovers all, of every nation ever delight in cupid's ration,"" pickles.","[-107.7581979, 32.2627416]",,,,,"Deming graphic February 18, 1910"
740,740.0,LOC Conundrum Supper,,,"February 18, 1922",,"Residence of Mr. and Mrs. Harry Burns, 918 Lawndale av.","South Bend, Indiana",South Bend news-times,,Ladies’ Aid society of Mt. Zion,,,,,,"[-86.2500066, 41.6833813]",,,,,"South Bend news-times February 18, 1922"
741,741.0,LOC Conundrum Supper,,,"February 18, 1893",,Horner’s hall,"Finksburg, Maryland",The Democratic advocate,,Jack Frost,,,,,,"[-76.8894232, 39.4928811]",,,,,"The Democratic advocate February 18, 1893"
742,742.0,LOC Conundrum Supper,,,"January 01, 1894",,Park Place Methodist episcopal church,"Scranton, Pennsylvania",The Scranton Tribune,,Young Ladies of the Universalist Society,,,,,,"[-75.6621294, 41.4086874]",,,,,"The Scranton Tribune January 01, 1894"
743,743.0,LOC Conundrum Supper,,,"August 15, 1902",,Vestry,"Guildhall, Vermont",Essex County Herald,,Ladies Mission Circle of Harlowton,,,,,,"[-71.5610294, 44.5651812]",,,,,"Essex County Herald August 15, 1902"
744,744.0,LOC Conundrum Supper,,,"August 05, 1910",,M.E. church,"Harlowton, Montana",The Harlowton news,Contains eBOF; same event is referenced in the issue from August 19,Junior Auxiliary of St Paul’s church,,,,,"What our Grandmothers used to Card 5c, Staff of Life 5c, A Playful Nanny Goat 5c, Condensed Curd 5c, Afterwards 5c, Bathing APPLIANCE BATTER 5c, Impertinence 5c, Most Precious Mineral Mixture 5c, Spring's Offering 5c, Son of Noah 5c, Sidewalk Slippers 5c, ? 5c, Boiled Berry 5c, Boston's Boast 5c.","[-109.835441, 46.434925]",,,,,"The Harlowton news August 05, 1910"
745,745.0,LOC Conundrum Supper,,,"January 26, 1893",,,"Burlington, Vermont",Burlington Weekly Free Press,Menu included.,Ladies of the M.E. church,,,,,w. New England brains; 2. delight of the Orient; 3. intoxicated Bovine; 4. what most people need; 5. fruit of the spinning wheel; 6. women of grit; 7. Boston's overthrow; 8. spring's offering; 9. labor's stronghold; 10. what a boy calls his sweetheart; 11. unruly member; 12. fruit of the vine; 13. ?; 14. nerve food; 15. something nice. Key: 1. baked beans; 2. coffee; 3. corned beef; 4. bread; 5. rolls; 6. sandwiches; 7. tea; 8. water; 9. cheese; 10. honey; 11. tongue; 12. pickles; 13. ?; 14. celery; 15. cake.,"[-73.2135472, 44.4762975]",,,,,"Burlington Weekly Free Press January 26, 1893"
746,746.0,LOC Conundrum Supper,,,"April 08, 1909",,Church,"Safford, Arizona",Daily Arizona silver belt,Event also mentioned in the April 02nd issue,Christian Endeavor society,,,,,,"[-109.70758, 32.8339546]",,,,,"Daily Arizona silver belt April 08, 1909"
747,747.0,LOC Conundrum Supper,,,"April 09, 1892",,,"Las Vegas, New Mexico",Las Vegas free press,Contains eBOF,Philatheas,,,,,"Pride of Boston, brown bread; a woman of grit, sandwich; April blossom, potato salad; I was in the Ark, ham; Plucka flower, picalilli; a young man;s sweetheart, honey; impertinence, sances; prairie flower raised in town, wheat bread; Boston's overthrow, tea; cake hard to beat, marble cake; tramp cake, sponge cake; what some people don't know, beans; fruit of the vine, pickles; what they had in the ark, pears; domestic animals ?, eatsup; a curse and a woman's name, bananas; spring's offering, water; no grounds for complaint, coffee; tree cake, cocoanut; perpetual motion, tongue.","[-105.2238969, 35.5939325]",,,,,"Las Vegas free press April 09, 1892"
748,748.0,LOC Conundrum Supper,,,"April 09, 1909",,,"Canton, South Dakota",Dakota Farmers’ Leader,,,,,,,,"[-96.59282, 43.300815]",,,,,"Dakota Farmers’ Leader April 09, 1909"
749,749.0,LOC Conundrum Supper,,,"January 25, 1893",,Presbyterian Church,"Salem, Oregon",Evening Capital Journal,Also mentioned January 24.,Ladies’ Aid society of the Congregational church,,,,,,"[-123.033121, 44.9391565]",,,,,"Evening Capital Journal January 25, 1893"
750,750.0,LOC Conundrum Supper,,,"April 10, 1891",,Devils Lake Inter-Ocean,"Hope, North Dakota",The Hope pioneer,,Epworth league,,,,,,"[-97.7223196, 47.3222102]",,,,,"The Hope pioneer April 10, 1891"
751,751.0,LOC Conundrum Supper,,,"April 11, 1891",,M.E. church,"Osceola, Nebraska",Omaha daily bee,,Baraca Class of the Baptist Bible School,,,,,,"[-97.5473188, 41.1799889]",,,,,"Omaha daily bee April 11, 1891"
752,752.0,LOC Conundrum Supper,,,"April 12, 1901",,,"Barre, Vermont",Barre Evening Telegram,Also mentioned on April 15.,Ladies’ Aid society of the Oak Ridge Baptist church,,,,,,"[-72.502213, 44.197467]",,,,,"Barre Evening Telegram April 12, 1901"
753,753.0,LOC Conundrum Supper,,,"April 13, 1905",,,"Jackson, Missouri",The Jackson herald,,Christian Endeavor Society,,,,,,"[-94.3604862534099, 39.03540865]",,,,,"The Jackson herald April 13, 1905"
754,754.0,LOC Conundrum Supper,,,"January 23, 1919",,Congregational parlor,"Barre, Vermont",The Barre Daily Times,Also mentioned on January 17 and 20.,Congregational Ladies Aid,,,,,,"[-72.502213, 44.197467]",,,,,"The Barre Daily Times January 23, 1919"
755,755.0,LOC Conundrum Supper,,,"January 23, 1903",,Congregational Church,"Hot Springs, South Dakota",Hot Springs Weekly Star,Menu included.,,,,,,"Menu: Paddy's friends - Tramps - Appetites Whetstones. What some people are said not to know. Squeezed curd. Hot greased staff - A group of islands - Chopped California product. The darkies' favorite walk. Bachelor's comfort - or - old maid's delight, with country charm. Fried Holes. Adams stumbling block. Concentrated dampness.","[-103.474363, 43.431646]",,,,,"Hot Springs Weekly Star January 23, 1903"
756,756.0,LOC Conundrum Supper,,,"April 14, 1921",,Congregational Church,"Barre, Vermont",The Barre Daily Times,"Mentioned on March 31, and March 30. Was supposed to take place on April 1 but delayed. Menu included on 30 March.",NEOP,,,,,,"[-72.502213, 44.197467]",,,,,"The Barre Daily Times April 14, 1921"
757,757.0,LOC Conundrum Supper,,,"April 15, 1904",,Brattleboro Lodge,"Brattleboro, Vermont",Windham County Reformer,,Modern Samaritans,,,,,,"[-72.5578678, 42.8509152]",,,,,"Windham County Reformer April 15, 1904"
