,level_0,Unnamed: 0,index,Unnamed: 0.1,Newspaper,Newspaper_Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Coordinates
243,243,243,243,243,The County Review Riverhead,1917-01-19,1917-01-25,U.S.,NY,East Quogue,The Ladies Aid,East Quogue House,,,,,n,Appears to be same event as R_242 and R_243,"(40.8406554, -72.5814814)"
244,244,244,244,244,The County Review Riverhead,1912-03-22,1912-03-26,U.S.,NY,South Jamesport,The V.I. Society,Great Meadow club,,,,,y,"Interesting that the eBOF is 'localized': ""The Pride of Jamesport"" is the first item on the menu","(40.9364888, -72.5773135)"
245,245,245,245,245,The County Review Riverhead,1907-03-29,1907-04-03,U.S.,NY,Baiting Hollow/Roanoke,,Church parlor,,,,,n,,
246,246,246,246,246,The County Review Riverhead,1923-05-04,1923-05-11,U.S.,NY,Moriches,The Ladies' Aid Society,Residence of Mrs. Giles Penney,Mrs. Giles Penney,,,,n,,"(40.807321, -72.8212131)"
247,247,247,247,247,The County Review Riverhead,1923-05-18,1923-05-11,U.S.,NY,Moriches,The Ladies' Aid Society,Residence of Mrs. Giles Penney,Mrs. Giles Penney; Rev. George Smith; Mr. Titmus,5 cents per dish,35.75$ USD,~70,y,,"(40.807321, -72.8212131)"
248,248,248,248,248,The County Review Riverhead,1911-10-20,1911-10-21,U.S.,NY,East Marion,The Church Social Society,Church chapel,Mrs. Lottie Brown,,,,n,,"(41.1275989, -72.3400829)"
249,249,249,249,249,The County Review Riverhead,1911-10-27,1911-10-21,U.S.,NY,East Marion,The Church Social Society,Church chapel,Mrs. Lottie Brown,,,,n,References the same event as R_249,"(41.1275989, -72.3400829)"
250,250,250,250,250,The Daily Leader Gloversville,1895-11-16,1895-11-15,U.S.,NY,Gloversville,,Congregational church,,,~40$ USD,,n,,"(43.0528133, -74.34369)"
251,251,251,251,251,The Daily Leader Gloversville,1892-11-17,1892-11-18,U.S.,NY,Gloversville,Y.P.S.C.E. of the Presbyterian church,,,1-5 cents per dish,,,y,,"(43.0528133, -74.34369)"
252,252,252,252,252,The Daily News Batavia,1914-02-14,1914-02-18,U.S.,NY,Batavia,,St. James Parish House,,15 cents admission,,,n,Interesting that the reference is an advertisement that was taken out for the event,"(42.9980144, -78.1875515)"
253,253,253,253,253,The Daily News Batavia,1914-02-16,1914-02-18,U.S.,NY,Batavia,,St. James Parish House,,15 cents admission,,,n,Exactly the same ad as R_253,"(42.9980144, -78.1875515)"
254,254,254,254,254,The Daily News Batavia,1893-02-18,1893-02-23,U.S.,NY,Batavia,Y's,Odd Fellows' Hall,,,,,n,,"(42.9980144, -78.1875515)"
255,255,255,255,255,The Daily News Batavia,1914-02-19,1914-02-18,U.S.,NY,Batavia,St. Jame's Guild,St. James Parish House,Miss Mamie Bean,15 cents admission,25$ USD,~150,y,References the same event as R_253 and R_254,"(42.9980144, -78.1875515)"
256,256,256,256,256,The Daily News Batavia,1893-02-24,1893-02-23,U.S.,NY,Batavia,Y's,Odd Fellows' Hall,Miss Grace Tryon; Glenn Clark; Glenn Holmes,,,,n,References the same event as R_255,"(42.9980144, -78.1875515)"
257,257,257,257,257,The Daily News Batavia,1908-06-12,1908-06-11,U.S.,NY,Batavia,Y.P.S.C.E. of the First Baptist Church,Church parlor,,,,,n,,"(42.9980144, -78.1875515)"
258,258,258,258,258,The Daily News Batavia,1908-03-21,1908-03-27,U.S.,NY,North Alexander,The Baptist Aid Society,Residence of Merrill F. Lincoln,,,,,n,,"(42.9295043, -78.2416834)"
259,259,259,259,259,The Daily News Batavia,1896-03-24,1896-03-24,U.S.,NY,East Pembroke,,Residence of L. F. Lyman,L. F. Lyman,,,,n,,"(42.9956152, -78.3100195)"
260,260,260,260,260,The Daily News Batavia,1892-11-11,1892-11-09,U.S.,NY,East Pembroke,The Ladies' Aid Society of the Baptist Church,Parsonage,Miss Bertha Sailes; Miss Richardsonl Ina Rich; Carrie Riley,,23.25$ USD,"""well attended""",y,,"(42.9956152, -78.3100195)"
261,261,261,261,261,The Daily News Batavia,1892-11-22,,U.S.,NY,East Pembroke,,,,,61.05$ USD,,n,Seems to be a difference event reference from R_261 despite the proximity,"(42.9956152, -78.3100195)"
262,262,262,262,262,The Daily News Batavia,1982-10-15,1982-11-09,U.S.,NY,East Pembroke,The Ladies' Aid Society,,,,,,n,References the same event as R_261,"(42.9956152, -78.3100195)"
263,263,263,263,263,The Daily Palladium Oswego,1892-12-13,1892-12-15,U.S.,NY,Southwest Oswego,The Young People of the M.E. Church,Grange Hall,,,,,n,,"(43.4125677, -76.5774459)"
264,264,264,264,264,The Dansville Express,1891-04-30,1891-04-30,U.S.,NY,Dansville,The Ladies of the Presbyterian church,Residence of Mrs. F. G. Hall,Mrs. F. G. Hall,,,,n,"(1) Interestingly this early CS says ""for the usual price"" and (2) also references a simultaeneous 'cobweb social' like other CS references","(42.5611258, -77.6961817)"
265,265,265,265,265,The East Hampton Star,1898-11-18,,U.S.,NY,,,,,,,,y,The repeated quote about the invention of a clever woman and the description of the supper from the Chicago times,"(50.2721249, 19.0252592)"
266,266,266,266,266,The Elizabethtown Post,1909-01-14,1909-01-14,U.S.,NY,Elizabethtown,,M.E. Church,,,,,n,,"(44.216171, -73.591232)"
267,267,267,267,267,The Elizabethtown Post,1893-11-23,1893-11-21,U.S.,NY,Elizabethtown,,M.E. Church,,,,,y,Long menu,"(44.216171, -73.591232)"
268,268,268,268,268,The Elmira Gazette,1893-02-22,1893-02-24,U.S.,NY,Elmira,Y.P.B.C. of the First Baptist church,Church parlor,,,,,n,,"(42.0897965, -76.8077338)"
269,269,269,269,269,The Elmira Gazette,1892-10-26,1892-10-27,U.S.,NY,Elmira,,First M.E. Church,,,,,n,,"(42.0897965, -76.8077338)"
270,270,270,270,270,The Endicott Times,1931-04-22,1931-04-23,U.S.,NY,West Endicott,The Queen Esther's ,St. Paul's Methodist Episcopal Church,Rev. N.B. Graves,,,,n,,
271,271,271,271,271,The Evening Gazette Port Jarvis,1923-04-25,1923-05-18,U.S.,NY,Montague,The Willing Workers,Basement of the Reformed Church,,,,,n,,
272,272,272,272,272,The Evening Gazette Port Jarvis,1923-05-23,1923-05-18,U.S.,NY,Montague,The Willing Workers,Basement of the Reformed Church,,,,,y,References the same event as R_272,
273,273,273,273,273,The Evening Journal Jamestown,1900-11-24,1900-12-01,U.S.,NY,Gerry,Christian Endeavor society,M.P. Parsonage,,,,,n,"""supper served on the European plan""","(42.193392, -79.248658)"
274,274,274,274,274,The Freeman's Journal Cooperstown,1914-03-18,1914-03-13,U.S.,NY,Hartwick Seminary,Alumni Banquet Committee,Gymnasium,,,~25$ USD,,n,,"(42.6431313, -74.9654348)"
275,275,275,275,275,The Freeman's Journal Cooperstown,1912-03-27,1912-03-22,U.S.,NY,Portlandville,The Ladies of the Christian Church,Church parlor,Carl Seeber; Slcia Strange; Dorothy Whitney; Blanch Tucker;,,8$ USD,,n,,"(42.5303555, -74.9671035)"
276,276,276,276,276,The Freeman's Journal Cooperstown,1914-11-18,1914-11-20,U.S.,NY,Westford,,Baptist Church,,,,,n,,"(42.6500755, -74.7976507)"
277,277,277,277,277,The Fulton Patriot ,1920-10-13,1920-10-29,U.S.,NY,Whitaker Road,The Balcom circle,Residence of Mr. and Mrs. John Salsbury,Mr. and Mrs. John Salsbury,10 cents per dish,,,n,,"(41.6303487, -74.269706)"
278,278,278,278,278,The Gilboa Monitor,1897-10-07,1897-10-09,U.S.,NY,Gilboa,The Epworth League,M.E. Church of Grand Gorge,,,,,y,"Also called ""C.C."" and all the riddle dishes begin with the letter ""C""","(42.3973028, -74.4459805)"
279,279,279,279,279,The Gloversville Daily Leader,1900-09-17,1900-09-18,U.S.,NY,Gloversville,,"Y.W.C.A rooms, No. 82 North Main Street",,,,,n,,"(43.0528133, -74.34369)"
280,280,280,280,280,The Granville Sentinel,1898-12-02,1898-11-25,U.S.,NY,Granville,The Junior Y.P.C.E. society of the Methodist church,Church parlor,,10 cents,,"""largely attended""",n,,"(43.408041, -73.259583)"
281,281,281,281,281,The Granville Sentinel,1893-01-13,1893-01-12,U.S.,NY,Granville,The Y.P.C.E. Society of the Baptist church,Residence of Hiram Haskins,Hiram Haskins,,,,n,,"(43.408041, -73.259583)"
282,282,282,282,282,The Granville Sentinel,1899-03-17,1899-03-16,U.S.,NY,Easton,The Women of the Methodist Episcopal church,Residence of Mr. and Mrs. Howard D. Cornell,Mr. and Mrs. Howard D. Cornell; Rev. J.C. Mitchell,,,,n,,"(42.9934104, -73.5523378)"
283,283,283,283,283,The Granville Sentinel,1894-03-30,1894-03-31,U.S.,NY,Pawlet (Vermont),The Epworth League,Town Hall,,,,,n,,
284,284,284,284,284,The Journal and Republican and Lowville Times,1912-01-11,1912-01-12,U.S.,NY,Greig,(For the Trinity Chapel),Grange Hall,,,,,n,,"(43.681529, -75.354881)"
285,285,285,285,285,The Journal and Republican and Lowville Times,1911-11-30,1911-12-01,U.S.,NY,Beaver Falls,The Junior League of the Methodist church,Church,,,,,n,"""On the European plan""","(43.8870133, -75.4274083)"
286,286,286,286,286,The Journal and Republican and Lowville Times,1902-01-09,1902-01-17,U.S.,NY,New Bremen,The Ladies of the M.E. society,Residence of N.B. Lombar,N.B. Lombar,25 cents,,,n,"Also called ""bean social""","(43.837994, -75.440369)"
287,287,287,287,287,The Katonah Times,1903-02-06,1903-02-11,U.S.,NY,Katonah,The Social department of the Epworth League,Church hall,,,,,n,,"(41.25877, -73.6853852)"
288,288,288,288,288,The Katonah Times,1903-02-13,1903-02-11,U.S.,NY,Katonah,The Social department of the Epworth League,Church hall,,,,"""not largely attended""",n,References the same event as R_288,"(41.25877, -73.6853852)"
289,289,289,289,289,The Katonah Times,1903-02-20,1903-02-11,U.S.,NY,Katonah,The Social department of the Epworth League,Church hall,,,,"""not largely attended""",n,References the same event as R_288 and R_289,"(41.25877, -73.6853852)"
290,290,290,290,290,The Long Island Farmer,1902-03-04,1902-02-27,U.S.,NY,Woodhaven/Ozone Park,The King's Daughters of the Congregational church,,,,35$ USD,,n,,
291,291,291,291,291,The Long Island Farmer,1908-05-22,1908-05-19,U.S.,NY,Morris Park,The Queen Esther Circle of the Methodist church,,,,,,n,,"(40.8523224, -73.8534682)"
292,292,292,292,292,The Long-Islander Huntington,1892-07-30,1892-08-01,U.S.,NY,Northport,The M.E. Sunday School,Union Hall,,,,,n,,"(40.9040576, -73.3420169301887)"
293,293,293,293,293,The Long-Islander Huntington,1893-06-24,1893-06-29,U.S.,NY,Huntington,The Ladies of Huntington harbor,Lawn of Mrs. Ira B. Young,Mrs. Ira B. Young,,,,n,,"(40.8530711, -73.4093468)"
294,294,294,294,294,The Malone Farmer,1930-12-03,,U.S.,NY,Fort Covington,The Members of the Women's Home Missionary Society of the Methodist Church,"Residence of Mr. and Mrs. Charles Smith, Convington street",Mr. and Mrs. Charles Smith; Mr. and Mrs. M. P. Merrick; Mrs. Grace Lockwood,,,,n,"It doesn't appear that the menu itself was a CS menu, but it mentions that dinner was only served after the card conundrums placed on the tables were solved, appears to be another variation on the tradition","(44.989033, -74.494262)"
295,295,295,295,295,The Malone Farmer,1934-12-05,1934-12-07,U.S.,NY,West Brandon/East Dickinson,The 4-H club,Residence of Mrs. Lannis Tuttle,Mrs. Lannis Tuttle,15 cents,,,n,,
296,296,296,296,296,The Malone Farmer,1933-03-08,1933-03-02,U.S.,NY,St. Regis Falls,The Epworth League,Church parlor,,,13.80$ USD,,n,,"(44.6733509, -74.5503169)"
297,297,297,297,297,The Malone Farmer,1909-03-24,1909-03-24,U.S.,NY,Moira,The Epworth League,M.E. church vestry,,,,,n,,"(44.818133, -74.555969)"
298,298,298,298,298,The Malone Palladium,1898-04-14,1898-04-15,U.S.,NY,Brushton,Y.P.S.C.E.,Basement of the M.E. church,,,,,n,,"(44.830552, -74.513741)"
299,299,299,299,299,The Malone Palladium,1893-12-07,1893-12-08,U.S.,NY,Malone,(For the Good Templars),Residence of William McKenzie,William McKenzie,,,,n,,"(44.84881, -74.295044)"
300,300,300,300,300,The Malone Palladium,1892-11-03,1892-11-02,U.S.,NY,Chateaugay,The Young People's Society of Christian Endeavor of the M.E. Church,Parsonage,,,,"""large""",y,,"(44.926648, -74.079781)"
301,301,301,301,301,The Marion Enterprise,1897-12-11,1897-12-14,U.S.,NY,Marion,,M.E. church,,,,,n,,"(43.143397, -77.189147)"
302,302,302,302,302,The Massena Observer St. Lawrence County,1903-11-12,1903-11-12,U.S.,NY,Massena,The Ladies of the Maccabees,Maccabee's Hall,,,,,n,,"(44.928106, -74.892082)"
303,303,303,303,303,The Mechanicville Mercury,1892-11-04,1892-11-03,U.S.,NY,Mechanicville,The ladies of the Baptist church,Church,,,,,n,,"(42.9028547, -73.6873405)"
304,304,304,304,304,The Mechanicville Mercury,1893-09-29,1893-10-03,U.S.,NY,Mechanicville,The Ladies' Aid Society,Methodist Church,,,,,n,,"(42.9028547, -73.6873405)"
305,305,305,305,305,The Medina Tribune,1892-12-01,1892-12-02,U.S.,NY,Medina,,Methodist Church,,,,,n,,"(43.220058, -78.386969)"
306,306,306,306,306,The Medina Tribune,1894-11-08,1894-11-02,U.S.,NY,Medina,The Young Ladies of the Choir,Presbyterian Church,,,,,y,,"(43.220058, -78.386969)"
307,307,307,307,307,The Medina Tribune,1894-11-15,1894-11-02,U.S.,NY,Medina,The Young Ladies of the Choir,Presbyterian Church,,,,,y,Provides the answers to the eBOF provided in R_307,"(43.220058, -78.386969)"
308,308,308,308,308,The New Rochelle Pioneer,1893-05-20,1893-05-24,U.S.,NY,New Rochelle,The Ladies of the St. John's Methodist Episcopal Church,Church parlor,,,,,n,,"(40.9115386, -73.7826363)"
309,309,309,309,309,The New Rochelle Pioneer,1893-05-27,1893-05-24,U.S.,NY,New Rochelle,The Ladies of the St. John's Methodist Episcopal Church,Church parlor,,,,"""good attendance""",n,References the same event as R_309,"(40.9115386, -73.7826363)"
310,310,310,310,310,The Newark Courier,1911-02-16,1911-02-21,U.S.,NY,Newark,,"Residence of George Shirley, 51 West Miller street",George Shirley,10 cents,,,n,"""A prize will be given for the best conundrum""","(43.0467301, -77.0952516)"
311,311,311,311,311,The Newark Courier,1895-11-21,1895-11-26,U.S.,NY,Newark,W.S.L. of the Universalist Church,Church parlor,,,,,n,"""European plan""","(43.0467301, -77.0952516)"
312,312,312,312,312,The Northern Observer Massena,1893-04-12,1893-04-17,U.S.,NY,Louisville,,M.E. Church basement,,25 cents,,,n,,"(44.897714, -75.016022)"
313,313,313,313,313,The Northern Observer Massena,1893-01-18,1893-01-20,U.S.,NY,Helena,,Residence of Dave Nevin,Dave Nevin,,,,n,,"(40.77079825, -73.9918150161844)"
314,314,314,314,314,The Northern Tribune Gouverneur,1897-03-03,1897-03-01,U.S.,NY,Gouverneur,The ladies of the Presbyterian Society,,,,,,n,,"(44.336864, -75.463028)"
315,315,315,315,315,The Northern Tribune Gouverneur,1898-11-09,1898-11-09,U.S.,NY,Gouverneur,The Ladies of the Maccabees,,,,,,n,,"(44.336864, -75.463028)"
316,316,316,316,316,The Ogdensburg Advance and St. Lawrence Weekly Democrat,1896-08-06,1896-08-06,U.S.,NY,Richville,The Good Templars,Merithew Hall,Rev. H.P. Forbes,,,,n,Newspaper is highly corrupt,"(44.417352, -75.39196)"
317,317,317,317,317,The Ogdensburg Advance and St. Lawrence Weekly Democrat,1896-08-13,1896-08-06,U.S.,NY,Richville,The Good Templars,Merithew Hall,Rev. H.P. Forbes; Rev. C. E. Witts; Horace White,,,,n,References the same event as R_317,"(44.417352, -75.39196)"
318,318,318,318,318,The Ogdensburg Advance and St. Lawrence Weekly Democrat,1911-12-21,1911-12-15,U.S.,NY,Potsdam,Professor L.K. Russel,"Residence of Prof. L.K. Russel of the Tech, lawrence ave",Professor L.K. Russel,,,,y,"Not a classical CS but a chemistry one, using conundrums from chemistry to describe menus. References the same event as R_125, R_195","(44.6697996, -74.9813349)"
319,319,319,319,319,The Ogdensburg Advance and St. Lawrence Weekly Democrat,1900-02-09,1900-02-09,U.S.,NY,Helena,The Aid Society,School House hall,,,,,n,,"(40.77079825, -73.9918150161844)"
320,320,320,320,320,The Ogdensburg Advance and St. Lawrence Weekly Democrat,1901-03-07,1901-03-08,U.S.,NY,Depeyster,The Epworth League,,,,,,n,Features prizes as well,
321,321,321,321,321,The Ogdensburg Advance and St. Lawrence Weekly Democrat,1897-11-04,1897-10-29,U.S.,NY,Morristown,The Ladies' Altar Guild of Christ's Episcopal church,Chapman's Hall,,,,"""well attended""",n,,"(44.586555, -75.648422)"
322,322,322,322,322,The Ogdensburg Journal,1902-02-25,1902-02-26,U.S.,NY,Ogdensburg,The Junior Endeavor Society of the Baptist Church,Church parlors,,25 cents,,,n,,"(44.694285, -75.486374)"
323,323,323,323,323,The Ogdensburg Journal,1902-02-26,1902-02-26,U.S.,NY,Ogdensburg,The Junior Endeavor Society of the Baptist Church,Church parlors,,25 cents,,,n,References the same event as R_323,"(44.694285, -75.486374)"
324,324,324,324,324,The Ogdensburg Journal,1899-01-24,1899-01-31,U.S.,NY,Depeyster,The Young Ladies' Mission Circle,Residence of George Rounds,George Rounds,,,,n,"References the same event as R_196 (2) Contains ""mite boxes"" that will be opened",
325,325,325,325,325,The Ogdensburg Journal,1901-03-05,1901-03-08,U.S.,NY,Depeyster,The Epworth League,Residence of J. Wesley Walker,J. Wesley Walker,,,,n,References the same event as R_197,
326,326,326,326,326,The Ogdensburg Journal,1899-11-08,1899-11-08,U.S.,NY,Ogdensburg,,Baptist Church,,,,,n,,"(44.694285, -75.486374)"
327,327,327,327,327,The Ogdensburg Journal,,,U.S.,NY,Morley,,Grange Hall,,,,,n,,"(44.6650607, -75.1988175)"
328,328,328,328,328,The Ogdensburg Journal,1910-10-11,1910-10-21,U.S.,NY,Madrid,Madrid Grange No. 962,,,,,,n,,"(44.750391, -75.131378)"
329,329,329,329,329,The Ogdensburg Journal,1910-10-25,1910-10-21,U.S.,NY,Madrid,Madrid Grange No. 962,,Worthy Master Fulington; Mrs. B. Hesselgrave; Mrs. H. E. Partch,,,~30,n,References the same event as R_329,"(44.750391, -75.131378)"
330,330,330,330,330,The Ogdensburg Journal,1909-09-21,1909-10-06,U.S.,NY,Dekalb Junction,The Ladies' Missionary society of the Presbyterian church,Church parlors,,,,,n,,
331,331,331,331,331,The Plattsburgh Sentinel,1892-04-08,,U.S.,NY,Sarnac,,,,,~16$ USD,,n,,
332,332,332,332,332,The Plattsburgh Sentinel,1910-04-15,,U.S.,NY,Plattsburgh,,,,,,,y,"(1) Not an actual event but details the CS practice with a menu and answers; (2) This section is also quoted in a CAnada newspaper that talks about another version of the church supper in which each dish is labled by states: ""different parts of Uncle Sam's domain""","(44.69670275, -73.4464301307879)"
333,333,333,333,333,The Plattsburgh Sentinel,1892-02-05,1892-02-05,U.S.,NY,Plattsburgh,The Ladies of the M.E. Church,Church parlors,,,,,n,,"(44.69670275, -73.4464301307879)"
334,334,334,334,334,The Plattsburgh Sentinel,1892-02-19,1892-02-26,U.S.,NY,Plattsburgh,The Ladies' Aid Society of the First Congregational church of Peru,Residence of Mr. F. C. Cate,Mr. F. C. Cate,,,,n,,"(44.69670275, -73.4464301307879)"
335,335,335,335,335,The Plattsburgh Sentinel,1892-01-15,1892-01-22,U.S.,NY,Mooers,The Ladies' Aid Society of the M.E. church,Church parlors,,20 cents,,,n,,"(44.963583, -73.587456)"
336,336,336,336,336,The Plattsburgh Sentinel,1892-03-11,1892-03-17,U.S.,NY,Mooers,The M.E. Church Society of Mooers Forks,Town Hall,,,,,n,,"(44.963583, -73.587456)"
337,337,337,337,337,The Plattsburgh Sentinel,1907-05-03,1907-04-26,U.S.,NY,West Chazy,The Young Men of the Epworth League,Residence of R. H. Carroll,R. H. Carroll,,,,n,,"(44.8205957, -73.5070812)"
338,338,338,338,338,The Plattsburgh Sentinel,1900-11-09,1900-11-09,U.S.,NY,Isle La Motte,The Ladies' Home Missionary Society,Vestry,,,,,n,,
339,339,339,339,339,The Pokeepsie Evening Enterprise,1903-04-28,1903-04-29,U.S.,NY,Pokeepsie,Y.P.S.C.E. of the Ebenezer Baptist church,226 Union Street,,,,,n,,
340,340,340,340,340,The Port Jervis Union,1892-05-13,1892-05-17,U.S.,NY,Matamoras,The United Chrisitan Workers/ The young ladies of the Evangelical church,Residence of Mr. and Mrs. Nate Smith,Mr. and Mrs. Nate Smith,15 cents,,,n,,
341,341,341,341,341,The Port Jervis Union,1892-05-15,1892-05-17,U.S.,NY,Matamoras,The United Chrisitan Workers/ The young ladies of the Evangelical church,Residence of Mr. and Mrs. Nate Smith,Mr. and Mrs. Nate Smith,15 cents,,,n,References the same event as R_341,
342,342,342,342,342,The Port Jervis Union,1892-05-18,1892-05-17,U.S.,NY,Matamoras,The United Chrisitan Workers of the Hope Evangelical church/ The young ladies of the Evangelical church,Residence of Mr. and Mrs. Nate Smith,Mr. and Mrs. Nate Smith,15 cents,19$ USD,,n,References the same event as R_341 and R_342,
343,343,343,343,343,The Port Jervis Union,1923-05-22,1923-05-18,U.S.,NY,Port Jervis,The Willing Workers of the Church,Reformed Church basement,,,,,n,,"(41.3750937, -74.692663)"
344,344,344,344,344,The Post Ellicottville,1908-10-14,1908-10-31,U.S.,NY,Five Points,The Grange,Residence of Joe Schuppenhauer,Joe Schuppenhauers,,,,n,,"(40.71571095, -73.9990219353349)"
345,345,345,345,345,The Post Ellicottville,1897-09-22,1897-09-23,U.S.,NY,Delevan,Grace Hive I.O.T.M.,Tempest hall,,free,,,n,,"(42.4892295, -78.4808534)"
346,346,346,346,346,The Potsdam Herald-recorder,1909-03-19,1909-03-30,U.S.,NY,North Stockholm,,Residence of Hermon A. Lewis,Hermon A. Lewis,,,,n,,
347,347,347,347,347,The Rushville Chronicle,1907-02-22,1907-02-22,U.S.,NY,Benton Center,The Ladies' Aid Society of the Baptist church,Church parlors,,,,,n,,"(42.7172908, -77.0666362)"
348,348,348,348,348,The Suffolk County News Sayville,1895-10-18,1895-10-11,U.S.,NY,Patchogue,The Ladies of the Congregational Aid society,Church,,,,,n,,"(40.7656539, -73.0151084)"
349,349,349,349,349,The Sun New York,1893-04-24,,U.S.,NY,,,,,,,,n,Joke about CS from the Buffalo Courier,"(50.2721249, 19.0252592)"
350,350,350,350,350,The Watertown Herald,1905-02-25,1905-02-24,U.S.,NY,Copenhagen,The Epworth League Society of the M.E. church,Church parlors,,,,,n,A Washington birthday social - more Americanesque,"(55.6867243, 12.5700724)"
351,351,351,351,351,The Watertown Herald,1891-10-31,1891-11-05,U.S.,NY,LaFargeville,The Ladies,Lingenfelters Hall,,,,,n,,
352,352,352,352,352,The Whitesville News,1895-12-12,1895-12-13,U.S.,NY,Harrison Valley,The Ladies of the Methodist church,Parsonage,,,,,n,,
353,353,353,353,353,The Whitesville News,1903-03-12,1903-03-06,U.S.,NY,Greenwood,The Ladies of the Christian Church,Residence of Denzel Freeland,Denzel Freeland,,,,n,,"(42.13507, -77.6483236)"
354,354,354,354,354,The Wyoming County Herald,1910-11-25,,U.S.,NY,Java,,,,,,90,n,,"(40.6626959, -73.9848775)"
355,355,355,355,355,Ticonderoga Sentinel,1916-11-23,1916-11-24,U.S.,NY,Crown Point,The Shining Light club,Chapel,,25 cents,,,n,,"(43.950563, -73.43708)"
356,356,356,356,356,Ticonderoga Sentinel,1916-11-30,1916-11-24,U.S.,NY,Crown Point,The Shining Light club,Chapel,,25 cents,,,n,References the same event as R_356,"(43.950563, -73.43708)"
357,357,357,357,357,Ticonderoga Sentinel,1892-10-06,,U.S.,NY,Crown Point,,,,,~18$ USD,"""few""",n,,"(43.950563, -73.43708)"
358,358,358,358,358,Ticonderoga Sentinel,1927-10-13,1927-10-26,U.S.,NY,Crown Point,The Mary Elizabeth class,M.E. church Social hall,,,,,n,"""and stocking social""","(43.950563, -73.43708)"
359,359,359,359,359,Ticonderoga Sentinel,1892-10-27,1892-11-02,U.S.,NY,Ticonderoga,,,,,,,n,"Also mentions an ""animated library""","(43.8375185, -73.420722556895)"
360,360,360,360,360,Tri-states Union Port Jervis,1899-04-06,1899-04-03,U.S.,NY,Montague,The Ladies' Aid of the Reformed Church,,,,18$ USD,,n,,
361,361,361,361,361,Tri-states Union Port Jervis,1912-02-29,1912-02-23,U.S.,NY,Montague,The Ladies' Aid of the M.E. Church,Residence of Mrs. Jas. A. Rundle,Mrs. Jas. A. Rundle,,,,n,,
362,362,362,362,362,Tri-states Union Port Jervis,1899-03-30,1899-04-07,U.S.,NY,Montague,The Ladies' Aid of the Reformed Church,,,,,,n,,
363,363,363,363,363,Tri-states Union Port Jervis,1892-05-19,1892-05-17,U.S.,NY,Matamoras,The United Chrisitan Workers/ The young ladies of the Evangelical church,Residence of Mr. and Mrs. Nate Smith,Mr. and Mrs. Nate Smith,15 cents,,,n,"References the same event as R_341, R_342, R_343",
364,364,364,364,364,Tri-states Union Port Jervis,1900-11-08,1900-11-02,U.S.,NY,Galilee,The Epworth League,,,,,"""well attended""",n,,"(-22.2366923, 166.4465409)"
365,365,365,365,365,Watertown Re-union,1902-12-27,1903-01-02,U.S.,NY,Sanfords Corners,The Sunday school class No. 7,Residence of Francis Herrick,Francis Herrick,,,,n,,
366,366,366,366,366,Watertown Re-union,1892-02-10,1892-02-10,U.S.,NY,Plessis,The young people,M. Church prayer room,,,,,n,,"(47.4493668, 3.1252003)"
367,367,367,367,367,Watertown Re-union,1908-03-11,1908-03-13,U.S.,NY,Plessis,The M.E. Ladies' Aid society,Residence of Mrs. B. Ostrander,Mrs. B. Ostrander,,,,n,,"(47.4493668, 3.1252003)"
368,368,368,368,368,Watertown Re-union,1900-03-17,1900-03-20,U.S.,NY,Barnes Corners,The Grangers of the Villiage,Grange hall,,,,,n,,"(43.8170121, -75.8176949)"
369,369,369,369,369,Watertown Re-union,1896-05-30,1896-05-23,U.S.,NY,Barnes Corners,The Grangers of the Villiage,Grange hall,,,,,n,,"(43.8170121, -75.8176949)"
370,370,370,370,370,Watertown Re-union,1914-11-07,1914-11-02,U.S.,NY,Chaumont,The men's social,Independent Order of Odd Fellows dining room,,,~15.5$ USD,"""largely attended""",n,,"(44.066999, -76.130209)"
371,371,371,371,371,Watertown Times,1891-12-02,1891-12-01,U.S.,NY,Watertown,The ladies of the Grace church,"Residence of Mrs. Eilas Cooper, Clinton street",Mrs. Elias Cooper,,,,y,Offers an explanation of the menu with an eBOF and solutions.,"(43.9747838, -75.9107565)"
372,372,372,372,372,Watertown Times,1891-11-03,1891-11-05,U.S.,NY,LaFargeville,,Lingenfelters Hall,,,,,n,,
373,373,373,373,373,Watertown Times,1891-11-10,1891-11-05,U.S.,NY,LaFargeville,,Lingenfelters Hall,,,~37$ USD,,n,References the same event as R_373,
374,374,374,374,374,Westfield Republican,1893-02-15,1893-02-17,U.S.,NY,Westfield,,M.E. Church,,,,,n,,"(42.32228, -79.578103)"
375,375,375,375,375,Westfield Republican,1907-02-20,,U.S.,NY,Westfield,,,,,,,n,,"(42.32228, -79.578103)"
376,376,376,376,376,Westfield Republican,1905-05-10,1905-05-13,U.S.,NY,Westfield,The Ladies Auxiliary of the West Portland cemetery,Odd Fellows' Hall,,,,,n,,"(42.32228, -79.578103)"
377,377,377,377,377,Westfield Republican,1905-05-17,1905-05-13,U.S.,NY,Westfield,The Ladies Auxiliary of the West Portland cemetery,Odd Fellows' Hall,,,25$ USD,,n,References the same event as R_377,"(42.32228, -79.578103)"
378,378,378,378,378,Wyoming County Times Warsaw,1894-04-12,1894-04-03,U.S.,NY,Lamont,The Endeavor club,,,,10$ USD,,n,,"(42.5914516, -78.1061194)"
